LGA,AGE5P - 0-4 years,AGE5P - 5-9 years,AGE5P - 10-14 years,AGE5P - 15-19 years,AGE5P - 20-24 years,AGE5P - 25-29 years,AGE5P - 30-34 years,AGE5P - 35-39 years,AGE5P - 40-44 years,AGE5P - 45-49 years,AGE5P - 50-54 years,AGE5P - 55-59 years,AGE5P - 60-64 years,AGE5P - 65-69 years,AGE5P - 70-74 years,AGE5P - 75-79 years,AGE5P - 80-84 years,AGE5P - 85-89 years,AGE5P - 90-94 years,AGE5P - 95-99 years,AGE5P - 100 years and over,HEAP - Postgraduate Degree Level,HEAP - Graduate Diploma and Graduate Certificate Level,HEAP - Bachelor Degree Level,HEAP - Advanced Diploma and Diploma Level,HEAP - Certificate III & IV Level,HEAP - Secondary Education - Years 10 and above,HEAP - Certificate I & II Level,HEAP - Secondary Education - Years 9 and below,HEAP - Supplementary Codes,HEAP - Not stated,HEAP - Not applicable,"INCP - $1,000-$1,249 ($52,000-$64,999)","INCP - $1,250-$1,499 ($65,000-$77,999)","INCP - $1,500-$1,749 ($78,000-$90,999)","INCP - $1,750-$1,999 ($91,000-$103,999)","INCP - $1-$149 ($1-$7,799)","INCP - $150-$299 ($7,800-$15,599)","INCP - $2,000-$2,999 ($104,000-$155,999)","INCP - $3,000 or more ($156,000 or more)","INCP - $300-$399 ($15,600-$20,799)","INCP - $400-$499 ($20,800-$25,999)","INCP - $500-$649 ($26,000-$33,799)","INCP - $650-$799 ($33,800-$41,599)","INCP - $800-$999 ($41,600-$51,999)",INCP - Negative income,INCP - Nil income,INCP - Not applicable,INCP - Not stated,INDP - Accommodation and Food Services,INDP - Administrative and Support Services,"INDP - Agriculture, Forestry and Fishing",INDP - Arts and Recreation Services,INDP - Construction,INDP - Education and Training,"INDP - Electricity, Gas, Water and Waste Services",INDP - Financial and Insurance Services,INDP - Health Care and Social Assistance,INDP - Inadequately described,INDP - Information Media and Telecommunications,INDP - Manufacturing,INDP - Mining,INDP - Not applicable,INDP - Not stated,INDP - Other Services,"INDP - Professional, Scientific and Technical Services",INDP - Public Administration and Safety,"INDP - Rental, Hiring and Real Estate Services",INDP - Retail Trade,"INDP - Transport, Postal and Warehousing",INDP - Wholesale Trade,"LFHRP - Employed, worked full-time","LFHRP - Employed, worked part-time","LFHRP - Employed, away from work","LFHRP - Employed, hours of work not stated","LFHRP - Unemployed, looking for full-time work","LFHRP - Unemployed, looking for part-time work",LFHRP - Not in the labour force,LFHRP - Labour force status not stated,LFHRP - Not applicable,GNGP - National Government,GNGP - State/Territory Government,GNGP - Local Government,GNGP - Private sector,GNGP - Not stated,GNGP - Not applicable,MSTP - Never married,MSTP - Widowed,MSTP - Divorced,MSTP - Separated,MSTP - Married,MSTP - Not applicable,"RLHP - Husband, Wife or Partner in a registered marriage","RLHP - Husband, Wife or Partner in de facto marriage, opposite-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, male same-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, female same-sex couple",RLHP - Lone parent,RLHP - Natural or adopted child under 15,RLHP - Step child under 15,RLHP - Foster child under 15,RLHP - Grandchild under 15,RLHP - Otherwise related child under 15,RLHP - Unrelated child under 15,RLHP - Natural or adopted dependent student,RLHP - Dependent student step child,RLHP - Dependent student foster child,"RLHP - Non-dependent natural, or adopted child",RLHP - Non-dependent step child,RLHP - Non-dependent foster child,RLHP - Brother/sister,RLHP - Father/mother,RLHP - Non-dependent grandchild,RLHP - Grandfather/grandmother,RLHP - Cousin,RLHP - Uncle/aunt,RLHP - Nephew/niece,RLHP - Other related individual (nec),RLHP - Unrelated individual living in family household,RLHP - Group household member,RLHP - Lone person,RLHP - Visitor (from within Australia),RLHP - Other non-classifiable relationship,RLHP - Not applicable,RELP - Buddhism,RELP - Christianity,RELP - Hinduism,RELP - Islam,RELP - Judaism,RELP - Other Religions,RELP - Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,RELP - Inadequately described,RELP - Not stated,SEXP - Male,SEXP - Female,MDCP - Married in a registered marriage,MDCP - Married in a de facto marriage,MDCP - Not married,MDCP - Not applicable,PreferencePercent,PartyNm
Adelaide,9761,9178,8226,10379,17511,16760,15961,12706,11645,11514,10776,10509,9219,8037,5586,4602,3661,2982,1511,379,39,11080,3832,31598,12717,16578,46776,85,11279,6047,13862,27136,12216,8376,7579,5194,6638,12384,7115,4868,13157,12831,10896,10936,12053,939,16225,27136,12364,7147,2916,664,1406,4627,7675,949,2899,13050,1888,1548,5302,669,97974,785,3059,7170,6573,1277,8058,2953,2199,49316,29474,2767,1279,4165,3556,53918,9222,27136,4278,9581,736,67423,785,97974,64790,8204,13053,4225,63637,27136,55192,11766,546,550,6806,24232,864,49,145,84,63,7529,572,8,7608,518,6,2682,793,224,81,256,91,228,128,2674,13845,21845,5390,6858,9375,7281,77929,6169,7693,156,3085,61453,916,16149,89666,91263,54682,13346,65853,46993,58.18,Australian Labor Party
Aston,9027,9072,8995,9907,10213,9927,10403,10283,10459,11026,11031,10507,9404,8068,5623,4222,2907,1929,895,244,25,5720,2739,19940,13129,21190,41216,69,9767,4080,9200,27045,11923,8082,6531,4296,6528,8693,5659,2288,10238,10099,9658,10147,11587,522,12776,27045,8054,4159,2645,227,1224,7558,6202,767,2886,9442,3012,1515,7619,98,76793,845,3207,5475,3348,1113,9258,2850,3922,47887,25873,2414,1209,2362,2227,39942,5184,27045,2114,5895,1013,67462,845,76793,40791,6289,9966,3514,66444,27045,61329,8479,99,167,6372,24654,942,62,136,60,41,9320,735,4,11227,1005,4,1363,1120,192,82,104,66,239,98,1519,2731,10868,3623,3684,3767,5849,76836,4012,1718,160,1543,52382,833,10797,75339,78821,60719,9364,47066,36980,60.13,Liberal
Ballarat,9317,9830,9140,9362,9801,8961,8781,8860,9512,9905,10026,9742,9259,8761,6442,4514,3221,2131,990,227,33,3889,3204,14648,10595,22004,37625,135,12266,2940,13225,28265,9731,6426,5016,3324,5392,9565,3978,2113,11884,12305,10402,10022,10146,585,8638,28265,10941,4828,1733,1786,1303,6316,6787,641,1156,10018,1719,1166,4959,500,83122,756,2289,3514,4167,801,6883,2944,1429,37677,24077,2650,1272,2647,2005,42245,7930,28265,2114,8727,1278,52808,756,83122,42675,7224,11325,4298,55017,28265,48591,11002,322,354,6731,24467,1270,92,215,95,66,5712,688,15,7083,703,14,1083,566,168,74,56,45,89,80,1083,4839,15869,5850,6433,5097,1170,75584,780,512,84,856,55708,870,13249,71979,76811,48120,12179,44914,43598,60.98,Australian Labor Party
Banks,9444,9250,8722,9422,10688,11555,11461,10286,10387,10195,10602,10141,8551,7236,5457,4481,3668,2636,1311,285,29,8333,1948,22905,12431,15745,41077,64,10355,5982,9559,27413,11218,7553,6198,4478,5502,8843,6560,3329,10775,10235,9245,9635,10863,697,15185,27413,8081,5362,2642,159,1114,5807,5828,568,4856,8245,2545,1517,4186,86,83076,1087,2679,6100,4031,1391,7001,4909,2610,46085,23083,2066,1500,2418,2403,45079,5770,27413,2278,6749,720,61885,1087,83076,40570,7554,9819,3532,66927,27413,60913,5765,212,222,6725,25058,749,62,185,105,65,8848,518,7,11500,732,3,2130,1652,266,152,258,128,439,198,3208,4264,11190,2963,4541,2756,6686,86543,4916,7557,184,900,37707,445,10866,75780,80031,60121,6983,52229,36469,56.26,Liberal
Barker,9219,10472,10390,9891,8304,8534,8978,9037,10178,11550,11836,12041,11572,11003,8170,5945,4121,2737,1208,303,32,1419,1453,9376,9179,25815,50775,155,16684,4444,16216,30105,11210,6380,4548,2842,5565,11118,3223,1654,15247,14161,12512,12767,12685,777,8119,30105,12707,4543,2547,11952,563,4869,5116,661,911,8211,1772,451,8955,593,91992,765,2675,1876,3260,638,7853,3074,2195,43468,25699,3150,1321,2915,1561,48896,8513,30105,772,5404,1082,65565,765,91992,40571,8862,12335,4712,69069,30105,59933,12254,98,162,6440,25779,1655,203,241,123,45,5458,742,16,6901,756,15,1001,445,250,105,66,46,104,54,1130,3476,18266,7345,6162,6148,1076,87387,288,1004,31,1057,58638,712,15358,83654,81960,59520,12946,45347,47779,68.94,Liberal
Barton,10307,9145,8112,9044,13661,18197,16774,12999,11684,10762,10294,9141,8050,6931,5375,4636,3752,2499,1187,288,17,11693,2173,28881,13387,13648,43563,48,11617,6954,13331,27569,12729,8450,6867,4623,5375,9302,7039,3017,12286,11344,10149,10736,12450,878,18236,27569,11811,7856,3830,118,1331,6023,5877,435,5238,9092,2893,2164,3642,84,90176,1543,2917,7429,4180,1459,8210,5801,2544,52297,26219,2255,1905,2957,2884,47775,8992,27569,3048,6599,723,70754,1543,90176,52564,7055,10055,3945,71671,27569,62500,8362,821,572,6727,24984,652,34,171,100,55,7854,409,4,11257,615,5,2906,1686,271,123,399,143,500,223,5197,9636,11861,3645,7035,4087,8844,80992,8752,13184,266,831,44153,645,15182,85725,87130,61655,10607,59824,40771,59.41,Labor
Bass,5681,6356,6040,6581,6866,5786,5805,5551,6193,6903,6908,7173,6725,6400,4981,3509,2369,1607,707,149,14,2251,1297,9213,6086,14742,29459,100,8764,2682,9655,18075,6396,3823,3153,2034,3582,7804,2163,1217,9442,9036,7711,7181,7012,344,5725,18075,7558,3364,1182,1825,706,3210,4248,612,995,6496,1070,489,3183,297,59699,444,1559,1826,2303,574,4971,1847,1241,23721,16226,1821,748,2164,1529,32090,5850,18075,670,5408,573,35449,444,59699,28777,5548,8600,2881,38366,18075,33290,7872,125,128,4719,15328,1081,61,149,55,42,3658,474,14,4337,451,8,806,342,164,88,54,28,60,43,723,3134,12237,4234,4542,4084,921,51181,629,713,59,554,37802,561,9812,49895,52397,33016,8376,31313,29581,50.41,Liberal
Bean,9041,8980,8143,8589,8175,8809,9651,9287,9558,9600,9623,9051,7795,6927,4933,3284,2101,1280,506,92,4,7886,4016,20853,11497,14669,32973,3,5736,3419,8428,26095,10346,9416,8798,5884,4394,5385,11554,4236,5637,6092,6520,7242,8947,175,7669,26095,7286,4044,1771,103,1009,4884,5812,537,855,8452,1290,1007,1327,4,65663,554,2199,5401,21050,891,5217,1932,735,46282,19709,3057,889,1558,1406,31012,5586,26095,19638,7610,126,41932,554,65663,36342,4708,9770,3061,55798,26095,50135,9561,266,306,5684,23190,1109,41,113,17,17,6499,572,3,7302,659,0,1034,544,86,6,45,12,84,33,1147,2548,11355,4211,4027,3879,2560,69596,2366,2556,81,1072,45421,683,11192,66425,69315,49815,10563,38561,36875,57.52,Australian Labor Party
Bendigo,8911,9384,8907,8977,9001,8299,8317,8353,9181,9628,9844,10066,9602,8968,6566,4907,3388,2362,1069,248,45,3585,3376,14430,10034,21921,35196,153,12181,3313,14656,27175,9312,6211,4846,2997,5371,9178,3822,1915,11829,11636,10543,10468,10371,448,7674,27175,12295,4243,1791,1908,1038,5638,5854,765,2203,10245,1739,824,5679,895,82224,622,2353,3078,3977,696,6960,2177,1160,35723,24192,2756,1121,2260,1859,42339,8574,27175,1682,8331,1167,52017,622,82224,40519,7169,11681,4205,55290,27175,48406,10756,226,375,6588,23323,1345,72,243,74,40,5656,593,21,6562,655,11,1085,547,231,103,93,41,77,72,1123,4549,15477,5466,6712,5559,1413,71780,583,501,89,723,55518,751,14688,71085,74959,47998,11772,43436,42850,59.04,Australian Labor Party
Bennelong,10216,9709,8479,9619,13513,14286,14382,12875,11552,10754,10823,9819,8701,7145,5074,4301,3473,2654,1253,296,23,17086,3045,35865,13314,11803,37442,58,7136,5692,9112,28399,12214,8756,8009,6043,6311,8577,10350,6135,9035,8933,8609,8691,10223,726,19640,28399,8294,5252,2748,157,1162,4972,7472,536,6068,9792,2828,3315,3959,108,86973,1097,2811,10341,3825,1789,7286,2627,3830,53794,24530,2204,1450,2673,2920,47155,5819,28399,3720,6601,584,69975,1097,86973,48572,6615,8445,2795,74121,28399,67151,7056,257,239,5621,26392,644,22,102,78,45,9283,411,7,9691,481,6,2188,1549,182,93,201,102,403,188,3704,7950,12426,3144,4264,5095,7331,83384,6947,3893,427,1330,52814,555,12276,82362,86578,66619,8087,54464,39783,56.91,Liberal
