AGE5P - Age in Five Year Groups,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over
Adelaide,9761,9178,8226,10379,17511,16760,15961,12706,11645,11514,10776,10509,9219,8037,5586,4602,3661,2982,1511,379,39
Aston,9027,9072,8995,9907,10213,9927,10403,10283,10459,11026,11031,10507,9404,8068,5623,4222,2907,1929,895,244,25
Ballarat,9317,9830,9140,9362,9801,8961,8781,8860,9512,9905,10026,9742,9259,8761,6442,4514,3221,2131,990,227,33
Banks,9444,9250,8722,9422,10688,11555,11461,10286,10387,10195,10602,10141,8551,7236,5457,4481,3668,2636,1311,285,29
Barker,9219,10472,10390,9891,8304,8534,8978,9037,10178,11550,11836,12041,11572,11003,8170,5945,4121,2737,1208,303,32
Barton,10307,9145,8112,9044,13661,18197,16774,12999,11684,10762,10294,9141,8050,6931,5375,4636,3752,2499,1187,288,17
Bass,5681,6356,6040,6581,6866,5786,5805,5551,6193,6903,6908,7173,6725,6400,4981,3509,2369,1607,707,149,14
Bean,9041,8980,8143,8589,8175,8809,9651,9287,9558,9600,9623,9051,7795,6927,4933,3284,2101,1280,506,92,4
Bendigo,8911,9384,8907,8977,9001,8299,8317,8353,9181,9628,9844,10066,9602,8968,6566,4907,3388,2362,1069,248,45
Bennelong,10216,9709,8479,9619,13513,14286,14382,12875,11552,10754,10823,9819,8701,7145,5074,4301,3473,2654,1253,296,23
Berowra,7745,10055,10200,10565,8899,6182,6545,8512,10666,11109,11018,10278,8708,7806,5974,4294,2938,2148,1159,317,20
Blair,12471,12671,11449,10852,10925,11259,11721,10222,10624,10611,10277,9704,8383,7335,5353,3868,2432,1483,600,156,21
Blaxland,13426,12317,11142,11310,14141,16141,14346,11788,10659,10339,10252,9710,7965,6575,4774,3672,2805,2015,997,240,18
Bonner,9356,10032,9501,9857,9962,9152,10395,10412,11358,10966,10110,8879,7637,6789,5177,3949,2926,2007,898,231,24
