HEAP - 1 Digit Level,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Adelaide,11080,3832,31598,12717,16578,46776,85,11279,6047,13862,27136
Aston,5720,2739,19940,13129,21190,41216,69,9767,4080,9200,27045
Ballarat,3889,3204,14648,10595,22004,37625,135,12266,2940,13225,28265
Banks,8333,1948,22905,12431,15745,41077,64,10355,5982,9559,27413
Barker,1419,1453,9376,9179,25815,50775,155,16684,4444,16216,30105
Barton,11693,2173,28881,13387,13648,43563,48,11617,6954,13331,27569
Bass,2251,1297,9213,6086,14742,29459,100,8764,2682,9655,18075
Bean,7886,4016,20853,11497,14669,32973,3,5736,3419,8428,26095
Bendigo,3585,3376,14430,10034,21921,35196,153,12181,3313,14656,27175
Bennelong,17086,3045,35865,13314,11803,37442,58,7136,5692,9112,28399
Berowra,10987,3206,27253,12612,13457,31440,51,5775,4852,7493,28000
Blair,2203,1590,10396,10511,26420,45310,150,11965,3708,13577,36575
Blaxland,5455,1062,17320,11047,13942,50986,141,15070,9097,13620,36885
Bonner,6716,2940,22280,11806,18070,38841,44,7275,3503,9261,28889
Boothby,8641,4044,27317,13446,18635,43096,54,8819,4589,11081,25822
Bowman,3111,2022,13382,12332,25388,42076,94,7977,3681,9339,27610
Braddon,1115,965,6071,5853,17020,30044,110,10969,2497,9906,18328
Bradfield,17943,3765,38836,12226,6802,31004,15,5014,4733,8044,31880
Brand,2118,1529,10999,10938,28494,46822,82,7377,3874,15194,36599
Brisbane,12839,4859,38559,12089,12933,35590,39,3871,3190,14425,21310
Bruce,4802,1604,16496,13127,19159,50206,149,17030,8944,14452,32162
Burt,4750,1730,16798,11534,23424,48439,119,8152,4730,12292,36808
Calare,2915,1963,12813,9831,25460,39257,200,13945,4329,18558,32032
Calwell,3929,1435,13121,10915,17336,44327,150,15771,6341,12005,36943
Canberra,16381,5669,28757,7588,7412,26228,86,3999,2479,9485,18692
Canning,1748,1437,9635,10022,25604,43722,93,8605,3774,13264,28118
Capricornia,1878,1545,10137,7154,25833,42889,110,11235,2860,17112,31494
Casey,3306,2896,14424,12789,25497,38065,110,9910,3510,10345,28451
Chifley,5124,1047,17292,10415,17886,48324,172,13730,5487,12555,39229
Chisholm,13843,4563,33887,14016,11378,40147,45,9349,4754,10361,27866
Clark,5705,2451,14742,6437,11771,26780,27,6767,2516,8312,16840
Cook,5390,2010,19228,12946,18318,33775,65,7490,5222,9728,24889
Cooper,11380,4874,28465,11087,12724,33424,14,12717,4689,13366,25390
Corangamite,3701,2901,15809,11774,20950,31468,87,8534,2908,10476,25987
