INCP Total Personal Income (weekly),"$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)",Negative income,Nil income,Not applicable,Not stated
Adelaide,12216,8376,7579,5194,6638,12384,7115,4868,13157,12831,10896,10936,12053,939,16225,27136,12364
Aston,11923,8082,6531,4296,6528,8693,5659,2288,10238,10099,9658,10147,11587,522,12776,27045,8054
Ballarat,9731,6426,5016,3324,5392,9565,3978,2113,11884,12305,10402,10022,10146,585,8638,28265,10941
Banks,11218,7553,6198,4478,5502,8843,6560,3329,10775,10235,9245,9635,10863,697,15185,27413,8081
Barker,11210,6380,4548,2842,5565,11118,3223,1654,15247,14161,12512,12767,12685,777,8119,30105,12707
Barton,12729,8450,6867,4623,5375,9302,7039,3017,12286,11344,10149,10736,12450,878,18236,27569,11811
Bass,6396,3823,3153,2034,3582,7804,2163,1217,9442,9036,7711,7181,7012,344,5725,18075,7558
Bean,10346,9416,8798,5884,4394,5385,11554,4236,5637,6092,6520,7242,8947,175,7669,26095,7286
Bendigo,9312,6211,4846,2997,5371,9178,3822,1915,11829,11636,10543,10468,10371,448,7674,27175,12295
Bennelong,12214,8756,8009,6043,6311,8577,10350,6135,9035,8933,8609,8691,10223,726,19640,28399,8294
Berowra,9322,7228,6782,5295,6136,6739,10050,7894,7096,7172,7640,7492,8350,428,12840,28000,6673
Blair,11659,7473,5685,3395,5113,9386,3777,1368,11820,11404,10229,10811,11825,656,9791,36575,11404
Blaxland,9939,5793,3987,2415,5932,13271,2859,970,14562,12048,10449,10696,11165,1319,20136,36885,12207
Bonner,10968,7740,7342,5051,5304,7455,7686,4299,8902,8897,8514,8853,10177,473,10783,28889,8303
Boothby,12079,8233,7453,5300,6462,10229,7318,4061,11424,12568,11518,10598,11313,554,10851,25822,9352
Bowman,10911,7407,6501,3992,5227,7921,5730,3100,10642,10376,9532,9752,10704,446,9281,27610,7876
Braddon,6256,3753,3021,1998,3409,7620,1995,941,10696,9845,7907,7301,6828,315,5273,18328,7357
Bradfield,9269,7386,7027,5617,6596,6523,11679,14980,6141,6444,6904,6822,8198,561,16525,31880,7698
Brand,10689,7712,6615,5031,5468,8525,8115,3435,9980,8836,8650,8124,9331,754,13292,36599,12864
Brisbane,12242,9517,9048,6361,4346,6644,11475,10481,6968,8313,8549,8549,10422,652,11055,21310,13771
Bruce,11793,6387,4207,2223,6790,13911,2377,808,15352,12969,10995,13076,13550,1302,18475,32162,12064
Burt,12409,8482,6975,4627,6034,9196,6667,2582,9861,8858,8983,9252,11126,890,15607,36808,10421
Calare,9727,6294,5349,4019,5022,9618,5550,2456,12672,12476,10327,10161,10193,610,8898,32032,15881
Calwell,10109,6101,4179,2514,6608,12879,2798,1005,12498,9931,9119,9905,11068,1178,15127,36943,10443
Canberra,8704,8137,8159,5801,4278,5627,12665,7386,5216,5606,6034,5546,6661,432,8661,18692,9011
Canning,8532,5947,5232,4285,4910,8561,7300,3706,11623,9723,9109,7778,7854,692,11550,28118,11087
Capricornia,9245,6462,5683,4220,4943,8157,7419,3563,9937,9697,8659,8593,8966,640,9664,31494,14898
Casey,11249,7459,5970,3864,5821,8224,4996,2175,9913,10358,9861,10016,11220,569,9751,28451,9326
Chifley,12533,7600,5206,3235,5269,10149,3318,894,11907,10382,9337,11380,13215,982,16024,39229,10593
Chisholm,10730,7524,6587,4970,7739,10271,8165,5080,10984,10347,9770,9403,9951,809,20558,27866,9257
Clark,7332,4924,4093,2783,3717,6534,3622,1998,7436,8204,7414,6922,7232,228,6238,16840,6887
Cook,10217,7742,7113,5124,4514,6013,8032,5966,7601,8215,7957,8255,9228,437,9311,24889,8458
Cooper,11111,8023,6896,4588,5446,10194,6989,4005,11882,10539,8883,9234,10446,593,11631,25390,12281
Corangamite,9181,6385,5368,3459,5194,7878,4318,2484,9704,9594,9692,8796,9106,471,8006,25987,9129
Corio,9760,6348,5063,3484,5700,9569,4666,2516,11894,11973,9941,9580,9991,523,9217,26371,11617
Cowan,10717,7421,6103,4248,5514,8768,6110,2236,9079,8520,8319,8369,9595,773,12487,31331,7939
