INDP - 1 Digit Level,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Inadequately described,Information Media and Telecommunications,Manufacturing,Mining,Not applicable,Not stated,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade
Adelaide,7147,2916,664,1406,4627,7675,949,2899,13050,1888,1548,5302,669,97974,785,3059,7170,6573,1277,8058,2953,2199
Aston,4159,2645,227,1224,7558,6202,767,2886,9442,3012,1515,7619,98,76793,845,3207,5475,3348,1113,9258,2850,3922
Ballarat,4828,1733,1786,1303,6316,6787,641,1156,10018,1719,1166,4959,500,83122,756,2289,3514,4167,801,6883,2944,1429
Banks,5362,2642,159,1114,5807,5828,568,4856,8245,2545,1517,4186,86,83076,1087,2679,6100,4031,1391,7001,4909,2610
Barker,4543,2547,11952,563,4869,5116,661,911,8211,1772,451,8955,593,91992,765,2675,1876,3260,638,7853,3074,2195
Barton,7856,3830,118,1331,6023,5877,435,5238,9092,2893,2164,3642,84,90176,1543,2917,7429,4180,1459,8210,5801,2544
Bass,3364,1182,1825,706,3210,4248,612,995,6496,1070,489,3183,297,59699,444,1559,1826,2303,574,4971,1847,1241
Bean,4044,1771,103,1009,4884,5812,537,855,8452,1290,1007,1327,4,65663,554,2199,5401,21050,891,5217,1932,735
Bendigo,4243,1791,1908,1038,5638,5854,765,2203,10245,1739,824,5679,895,82224,622,2353,3078,3977,696,6960,2177,1160
Bennelong,5252,2748,157,1162,4972,7472,536,6068,9792,2828,3315,3959,108,86973,1097,2811,10341,3825,1789,7286,2627,3830
Berowra,3443,2129,702,1081,6066,7828,546,4772,9059,2255,2280,3555,150,72838,669,2508,8751,3420,1446,6447,1976,3225
Blair,3617,2252,1427,726,5891,5954,995,1494,8911,2218,625,6739,679,93664,814,2708,2875,6358,1077,7106,4228,2017
Blaxland,4742,2613,140,729,6907,3827,384,2642,7233,3424,1115,5261,37,110172,1894,2676,3425,2639,817,6893,4744,2306
Bonner,4673,2465,306,1125,6215,7412,788,2758,9667,2257,1108,4651,844,76007,674,2764,6159,4909,1498,6880,4105,2364
