LFHRP Labour Force Status and Hours Worked Not Stated,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Employed, hours of work not stated","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Labour force status not stated,Not applicable
Adelaide,49316,29474,2767,1279,4165,3556,53918,9222,27136
Aston,47887,25873,2414,1209,2362,2227,39942,5184,27045
Ballarat,37677,24077,2650,1272,2647,2005,42245,7930,28265
Banks,46085,23083,2066,1500,2418,2403,45079,5770,27413
Barker,43468,25699,3150,1321,2915,1561,48896,8513,30105
Barton,52297,26219,2255,1905,2957,2884,47775,8992,27569
Bass,23721,16226,1821,748,2164,1529,32090,5850,18075
Bean,46282,19709,3057,889,1558,1406,31012,5586,26095
Bendigo,35723,24192,2756,1121,2260,1859,42339,8574,27175
Bennelong,53794,24530,2204,1450,2673,2920,47155,5819,28399
Berowra,45216,24034,2027,1016,1587,1733,36866,4655,28000
Blair,43967,20996,2501,1267,4111,2332,42047,8596,36575
Blaxland,39035,21541,1533,2358,4045,3302,57156,8780,36885
Bonner,46746,23414,2415,1048,2699,2215,36249,5957,28889
Boothby,43890,29407,2981,1031,2802,2615,50195,6682,25822
Bowman,43931,22884,2257,1090,2640,1930,39016,5666,27610
Braddon,23682,15458,1966,762,2266,1205,33860,5316,18328
Bradfield,47877,24328,1985,1023,1904,2051,43998,5196,31880
Brand,45364,21939,3075,1263,5199,2770,38125,9696,36599
Brisbane,59535,26717,2540,1223,3040,2851,30429,12056,21310
Bruce,44867,23683,1874,2179,4625,3302,57192,8632,32162
Burt,48394,24417,2696,1447,4971,3053,39721,7274,36808
Calare,41885,21869,2640,1346,2839,1733,46416,10531,32032
Calwell,39045,20776,1842,1900,3827,2793,47819,7492,36943
Canberra,42874,18574,2610,1151,1567,2196,31705,7599,18692
Canning,36012,20429,2839,1093,4045,2137,43293,8052,28118
Capricornia,43759,19593,2789,1305,3819,1913,35876,11683,31494
Casey,44054,26119,2804,1335,1790,1758,36929,6034,28451
Chifley,47514,19386,1892,2050,3860,2815,46894,7610,39229
Chisholm,44694,27834,2097,1172,2723,3495,53723,6515,27866
Clark,26110,17676,1791,622,1719,1736,30528,5388,16840
Cook,44278,21396,2219,1247,1432,1319,36509,5778,24889
Cooper,46303,26393,2286,1483,2873,2856,41090,9463,25390
Corangamite,33972,23600,2572,1076,1568,1599,37772,6298,25987
Corio,38025,23925,2528,1221,2785,2047,43862,7599,26371
Cowan,42415,23480,2456,1348,3851,2460,34566,5631,31331
Cowper,32292,23819,2281,1259,2884,1963,57333,10098,27400
Cunningham,40463,24374,2473,1131,2417,2748,47532,7092,27152
Curtin,41370,24914,2168,881,2211,2357,36168,7955,25063
Dawson,46340,20906,2644,1414,4086,2031,35683,10805,29940
Deakin,45889,25757,2355,1152,2232,2130,40454,5231,28301
Dickson,47705,24215,2577,1071,2778,2110,33028,5188,32775
Dobell,38559,22772,2405,1216,2854,2003,46285,8024,29956
Dunkley,43898,24093,2395,1242,2633,2066,39093,7710,28833
Durack,58595,19302,4463,1862,4045,1645,35925,18342,37587
Eden-Monaro,43193,21400,2887,1398,1753,1308,39424,9553,26633
Fadden,45763,25110,2141,1323,3403,2613,41720,9964,31196
Fairfax,37397,25364,2209,1067,2750,2264,41630,7555,27286
Farrer,43839,23204,2840,1616,2556,1581,45038,11911,31391
Fenner,48471,19053,2853,1005,1748,1712,26170,5385,30030
Fisher,35701,24128,2275,1125,2695,2251,44748,7240,25947
Flinders,33213,22604,2302,1134,1643,1490,44481,7215,23048
Flynn,44256,19158,2763,1440,4600,1799,35869,11303,34296
Forde,47932,22754,2342,1473,4073,2425,39346,8014,37182
Forrest,37456,23997,3254,1171,3012,1884,37778,8778,30447
Fowler,37975,18568,1425,1996,3701,3316,57305,8624,31328
Franklin,24581,16532,1833,644,1379,1116,30580,4004,18399
Fraser,41425,23650,1792,2109,4784,3699,52192,8953,29568
Fremantle,45161,24239,2810,1164,3522,2338,33199,8540,27764
Gellibrand,52880,24143,2593,1375,3403,2539,37899,7677,33437
Gilmore,30414,22300,2334,1161,2283,1558,56607,9552,24228
Gippsland,32800,21390,2850,1240,3020,1663,46236,10072,25289
Goldstein,42904,25234,2060,990,1732,1998,38737,6205,27761
Gorton,46971,22345,2397,1774,3701,2657,39973,7577,40900
Grayndler,56491,22348,2405,1200,2166,1816,29842,9936,23311
Greenway,55927,22217,2270,1615,2931,2478,38295,5762,38566
Grey,40498,24116,3135,1498,3788,1852,52851,10605,30739
Griffith,54476,24899,2387,1072,2713,2479,29087,8687,23927
Groom,41798,21294,2382,1053,2917,1930,38573,8448,30474
Hasluck,40480,21605,2555,1181,3691,2128,37612,7275,27090
Herbert,47136,21914,2885,1203,4789,2769,36424,10029,32852
Higgins,54015,25713,2228,1153,2417,2549,38317,8602,23260
Hindmarsh,44242,26268,2774,1129,3358,2423,49209,6576,24829
Hinkler,28159,18349,1827,1007,4102,2089,53983,8804,24811
Holt,49082,23185,2280,1641,3204,2666,36051,7078,40455
Hotham,46261,26626,2097,1567,2987,3747,55835,7531,28211
Hughes,48464,23211,2421,977,1456,1438,32616,3788,29925
Hume,46679,22030,2583,1398,1913,1463,36026,7079,31465
Hunter,39414,21991,2530,1297,3288,2041,47934,7644,30658
Indi,37487,22853,2881,1332,1962,1379,41771,8985,25765
Isaacs,46316,23617,2246,1333,2230,1955,37893,6689,27984
Jagajaga,43180,25111,2376,1051,1956,2068,37400,5559,26629
Kennedy,44069,20417,2720,1720,4096,1738,43100,12328,34204
Kingsford Smith,56459,24754,2589,1562,2282,2881,47813,11229,26669
Kingston,42193,27026,2888,1014,3497,2484,44327,5976,29311
Kooyong,46055,26814,2149,1082,1978,2566,41927,6420,25881
La Trobe,45239,23365,2220,1249,2295,2202,32896,5626,34177
Lalor,50784,23162,2324,1806,4141,3058,39600,7442,42438
Leichhardt,46497,23695,2702,1492,4305,2396,38161,13796,34349
Lilley,49468,22983,2602,1166,2815,2061,35669,6877,26513
Lindsay,53633,21654,2546,1569,2928,2017,39231,7621,35327
Lingiari,32978,9546,2194,1367,3621,1112,28564,13305,27693
Longman,40140,22050,2371,1324,3967,2468,46810,8530,32937
Lyne,28333,20473,2306,1160,2719,1708,56285,8559,23935
Lyons,23545,15617,1966,913,1985,1115,32629,5978,18528
Macarthur,49221,20600,2290,1649,3156,2340,39817,7044,35903
Mackellar,45552,25845,2176,1148,1236,1387,36171,6294,28813
Macnamara,64633,24653,2541,1216,2912,2280,34378,14656,19761
Macquarie,42079,22778,2198,1107,1678,1552,37081,6045,26930
Makin,46080,26499,2608,1124,3744,2625,48483,5461,30332
