GNGP Public/Private Sector,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable
Adelaide,4278,9581,736,67423,785,97974
Aston,2114,5895,1013,67462,845,76793
Ballarat,2114,8727,1278,52808,756,83122
Banks,2278,6749,720,61885,1087,83076
Barker,772,5404,1082,65565,765,91992
Barton,3048,6599,723,70754,1543,90176
Bass,670,5408,573,35449,444,59699
Bean,19638,7610,126,41932,554,65663
Bendigo,1682,8331,1167,52017,622,82224
Bennelong,3720,6601,584,69975,1097,86973
Berowra,2263,6719,630,62011,669,72838
Blair,3116,8142,1197,55462,814,93664
Blaxland,1488,4219,455,56403,1894,110172
Bonner,2561,8823,820,60733,674,76007
Boothby,3889,9902,857,61995,593,88090
Bowman,1521,7048,1083,59776,742,76849
Braddon,483,4026,679,36218,436,60992
Bradfield,2617,5425,400,66048,727,85033
Brand,3287,6768,912,59955,717,92387
Brisbane,4690,10557,818,73215,751,69672
Bruce,1504,3691,660,64703,1689,105760
Burt,1781,7696,977,65629,874,91828
Calare,1592,8300,1807,55278,774,93544
Calwell,1508,3871,746,56081,1342,98844
Canberra,23988,5512,130,35009,548,61714
Canning,918,5007,1079,52730,637,85645
Capricornia,1308,7363,1550,56542,695,84794
Casey,1614,6296,1051,64410,938,74972
Chifley,1770,6126,712,60773,1453,100407
Chisholm,3621,6005,766,64441,939,94304
Clark,2100,7706,528,35402,357,56310
Cook,1962,6699,773,58901,805,69929
Cooper,4294,8050,1319,61880,940,81762
Corangamite,2278,6599,1458,50267,614,73227
Corio,2634,7488,1203,53521,878,82630
Cowan,1555,6710,869,59724,843,77845
Cowper,1340,5867,1751,49949,739,99674
Cunningham,4108,9246,1231,53168,690,86938
Curtin,2282,8671,509,57365,512,73744
Dawson,1966,6986,1301,60197,830,82545
Deakin,2492,7093,1031,63758,775,78354
Dickson,3318,9971,964,60598,736,75872
Dobell,1211,6808,1111,55101,724,89113
Dunkley,1482,6341,1051,61897,928,80320
Durack,1082,8991,2164,71135,847,97541
Eden-Monaro,8542,6253,1435,51874,762,78663
Fadden,1566,5631,862,65392,893,88885
Fairfax,1251,6173,849,56999,745,81490
Farrer,1521,6273,1902,60867,942,92475
Fenner,20762,6538,187,43289,705,65089
Fisher,1175,5765,817,54811,669,82871
Flinders,2067,4775,919,50763,708,78003
Flynn,602,6647,1650,57906,809,87874
Forde,1391,6371,865,64890,984,91041
Forrest,831,5968,1064,57390,621,81895
Fowler,1186,4073,492,52564,1654,104266
Franklin,1941,6726,722,33843,358,55462
Fraser,1887,4177,695,60451,1568,99019
Fremantle,2519,8617,894,60664,682,75365
Gellibrand,3753,6956,1134,68006,1032,84870
Gilmore,2776,5794,1543,45416,679,94234
Gippsland,1985,6811,1165,47569,750,86294
Goldstein,2592,5246,742,61978,625,76432
Gorton,1918,5471,853,64013,1242,94798
Grayndler,4956,8598,821,67233,837,67063
Greenway,2316,8162,877,69487,1187,88032
Grey,873,6619,1244,59591,794,99834
Griffith,4163,10369,894,66747,675,66875
Groom,1928,8740,1300,53927,620,82343
Hasluck,1442,6687,1059,55911,716,77803
Herbert,7542,9705,1441,53713,736,86864
Higgins,3531,6163,673,71960,826,75173
Hindmarsh,3258,7905,752,61819,697,86379
Hinkler,631,6144,1029,40897,657,93783
Holt,1655,4597,818,68022,1360,89494
Hotham,3439,5212,666,66149,1137,98409
Hughes,3342,9040,1048,60968,676,69216
Hume,1762,8150,1355,60577,845,77950
Hunter,1462,5584,996,56424,768,91563
Indi,2537,6696,1402,53082,814,79871
Isaacs,2226,5905,1115,63387,825,76677
Jagajaga,3820,8522,1147,57579,659,73630
Kennedy,1110,8215,2237,56435,908,95468
Kingsford Smith,5450,7801,896,70230,986,90878
Kingston,2483,7494,1028,61574,598,85655
Kooyong,3501,6206,647,65010,716,78785
La Trobe,1411,5514,1017,63287,898,77108
Lalor,2317,5085,1137,68378,1302,96731
Leichhardt,2433,9930,2191,58959,923,93006
Lilley,3515,10749,932,60228,776,73934
Lindsay,2578,8576,1002,66113,1136,87122
Lingiari,3356,7418,1628,32878,792,74300
Longman,1202,6740,823,56283,836,94710
Lyne,816,4757,1302,44692,707,93200
Lyons,808,4187,780,35762,491,60236
Macarthur,1803,7484,900,62417,1153,88261
Mackellar,1423,5294,864,66309,822,73895
Macnamara,3963,6645,691,80817,788,73967
Macquarie,2757,8292,1277,55152,687,73278
Makin,3252,7778,877,63759,691,90637
Mallee,540,6781,1764,53556,922,90273
Maranoa,564,6728,2397,53408,859,85313
Maribyrnong,3766,7484,1023,65518,925,79290
Mayo,2252,6984,1132,60567,507,87466
McEwen,2027,6515,1366,58213,731,73384
McMahon,1440,5319,705,58066,1384,98782
McPherson,1277,5977,1037,62580,797,79911
Melbourne,6027,8152,803,80910,982,92153
Menzies,2472,6019,729,59944,840,78720
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),0,9,0,105,13,286
Migratory - Offshore - Shipping (NT),0,0,0,23,7,49
Migratory - Offshore - Shipping (OT),0,0,0,4,0,0
Migratory - Offshore - Shipping (Qld),6,0,0,55,3,88
Migratory - Offshore - Shipping (SA),0,0,0,4,0,0
Migratory - Offshore - Shipping (Tas.),0,11,0,37,0,23
Migratory - Offshore - Shipping (Vic.),0,0,0,20,0,9
Migratory - Offshore - Shipping (WA),0,0,0,331,6,100
Mitchell,2198,7416,636,66457,800,75941
Monash,821,5727,1172,50035,804,81978
Moncrieff,1368,5305,1023,69900,979,88538
Moore,1875,8564,975,60286,590,67977
Moreton,3856,9356,814,61735,907,85286
New England,2173,6590,1827,52944,891,89761
Newcastle,4272,9063,970,57556,688,80398
Nicholls,1371,6043,1056,54012,882,86853
No usual address (ACT),45,16,0,142,9,333
No usual address (NSW),172,183,25,2865,85,8959
No usual address (NT),49,42,11,462,10,1915
No usual address (OT),4,0,0,6,0,39
No usual address (Qld),84,157,30,2717,96,9427
No usual address (SA),19,34,8,656,13,2133
No usual address (Tas.),4,20,0,211,6,666
No usual address (Vic.),115,92,20,1752,55,5537
No usual address (WA),40,73,10,1609,43,4177
North Sydney,3493,6096,448,75643,752,75090
O'Connor,645,7569,1856,58759,769,86723
Oxley,3135,7823,747,60886,1067,93541
Page,1446,6654,1624,50680,833,97874
Parkes,779,7566,2384,52814,951,89269
Parramatta,2541,7564,588,71398,1513,102715
Paterson,2841,5452,817,54672,691,91154
Pearce,1620,7174,1175,73620,902,97278
Perth,2619,9179,917,64867,697,72807
Petrie,2125,8594,807,60317,856,90565
Rankin,1931,7336,871,66055,1199,101775
Reid,3108,6986,597,77664,1433,91554
Richmond,1258,5212,1380,53087,880,91094
Riverina,3036,6067,1850,55367,842,88630
Robertson,1327,7278,1071,52527,670,80218
Ryan,7077,9447,718,57905,500,77825
Scullin,2017,5433,942,59950,1207,88438
Shortland,1765,7365,1014,51373,565,82404
Solomon,5487,9634,378,40788,783,51207
Spence,2803,4629,570,57440,713,106246
