MSTP Registered Marital Status,Never married,Widowed,Divorced,Separated,Married,Not applicable
Adelaide,64790,8204,13053,4225,63637,27136
Aston,40791,6289,9966,3514,66444,27045
Ballarat,42675,7224,11325,4298,55017,28265
Banks,40570,7554,9819,3532,66927,27413
Barker,40571,8862,12335,4712,69069,30105
Barton,52564,7055,10055,3945,71671,27569
Bass,28777,5548,8600,2881,38366,18075
Bean,36342,4708,9770,3061,55798,26095
Bendigo,40519,7169,11681,4205,55290,27175
Bennelong,48572,6615,8445,2795,74121,28399
Berowra,32587,5727,6671,2142,70012,28000
Blair,46208,5923,11916,5710,56058,36575
Blaxland,44361,6899,10720,4921,70841,36885
Bonner,40431,6108,10217,3455,60525,28889
Boothby,47841,9419,13168,3641,65533,25822
Bowman,35223,6606,11444,4221,61909,27610
Braddon,26326,6065,8688,3250,40193,18328
Bradfield,35456,6812,7031,2176,76896,31880
Brand,45361,5108,10999,4815,61152,36599
Brisbane,70283,3915,10808,3311,50071,21310
Bruce,47086,8018,11876,4809,74342,32162
Burt,45513,5033,10090,4226,67105,36808
Calare,43624,8213,11902,4741,60781,32032
Calwell,42032,4996,8472,4648,65319,36943
Canberra,48260,4828,7860,2459,44714,18692
Canning,35063,6283,11176,4337,61040,28118
Capricornia,41003,6076,10718,4531,58417,31494
Casey,39816,5564,10921,3862,60678,28451
Chifley,47798,6517,8943,4970,63795,39229
Chisholm,49453,8120,8744,2793,73293,27866
Clark,34093,5238,8743,2822,34911,16840
Cook,35409,7094,9801,3169,58713,24889
Cooper,59177,7211,9234,3472,53809,25390
Corangamite,32310,6133,8796,3343,57997,25987
Corio,44085,7869,11320,4250,54405,26371
Cowan,39050,4799,9157,3607,59592,31331
Cowper,39660,10335,15803,5497,60636,27400
Cunningham,46583,7792,10907,3742,59198,27152
Curtin,43692,5807,9363,2588,56580,25063
Dawson,43062,6148,11193,4690,58801,29940
Deakin,39224,6899,10481,3370,65180,28301
Dickson,37219,4373,9664,3682,63740,32775
Dobell,40312,8850,13452,5139,56362,29956
Dunkley,43138,6579,13054,4541,55924,28833
