RLHP Relationship in Household,"Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple",Lone parent,Natural or adopted child under 15,Step child under 15,Foster child under 15,Grandchild under 15,Otherwise related child under 15,Unrelated child under 15,Natural or adopted dependent student,Dependent student step child,Dependent student foster child,"Non-dependent natural, or adopted child",Non-dependent step child,Non-dependent foster child,Brother/sister,Father/mother,Non-dependent grandchild,Grandfather/grandmother,Cousin,Uncle/aunt,Nephew/niece,Other related individual (nec),Unrelated individual living in family household,Group household member,Lone person,Visitor (from within Australia),Other non-classifiable relationship,Not applicable
Adelaide,55192,11766,546,550,6806,24232,864,49,145,84,63,7529,572,8,7608,518,6,2682,793,224,81,256,91,228,128,2674,13845,21845,5390,6858,9375
Aston,61329,8479,99,167,6372,24654,942,62,136,60,41,9320,735,4,11227,1005,4,1363,1120,192,82,104,66,239,98,1519,2731,10868,3623,3684,3767
Ballarat,48591,11002,322,354,6731,24467,1270,92,215,95,66,5712,688,15,7083,703,14,1083,566,168,74,56,45,89,80,1083,4839,15869,5850,6433,5097
Banks,60913,5765,212,222,6725,25058,749,62,185,105,65,8848,518,7,11500,732,3,2130,1652,266,152,258,128,439,198,3208,4264,11190,2963,4541,2756
Barker,59933,12254,98,162,6440,25779,1655,203,241,123,45,5458,742,16,6901,756,15,1001,445,250,105,66,46,104,54,1130,3476,18266,7345,6162,6148
Barton,62500,8362,821,572,6727,24984,652,34,171,100,55,7854,409,4,11257,615,5,2906,1686,271,123,399,143,500,223,5197,9636,11861,3645,7035,4087
Bass,33290,7872,125,128,4719,15328,1081,61,149,55,42,3658,474,14,4337,451,8,806,342,164,88,54,28,60,43,723,3134,12237,4234,4542,4084
Bean,50135,9561,266,306,5684,23190,1109,41,113,17,17,6499,572,3,7302,659,0,1034,544,86,6,45,12,84,33,1147,2548,11355,4211,4027,3879
Bendigo,48406,10756,226,375,6588,23323,1345,72,243,74,40,5656,593,21,6562,655,11,1085,547,231,103,93,41,77,72,1123,4549,15477,5466,6712,5559
Bennelong,67151,7056,257,239,5621,26392,644,22,102,78,45,9283,411,7,9691,481,6,2188,1549,182,93,201,102,403,188,3704,7950,12426,3144,4264,5095
Berowra,64883,4499,105,123,4180,26079,723,49,111,47,47,10757,635,9,10327,721,7,987,1271,148,82,61,33,239,104,1312,1466,6746,2559,2912,3918
Blair,50522,13236,229,344,8557,30537,2322,192,393,192,104,5795,857,24,8524,1060,17,1560,1122,323,140,120,90,193,151,2140,4039,11997,4935,8031,4579
Blaxland,61087,3712,126,93,7851,33254,819,42,240,195,130,10323,501,8,14065,769,11,2984,1755,291,140,400,188,630,268,4116,6942,9238,4058,7359,3043
Bonner,55142,9431,233,302,6140,25869,1178,37,165,90,69,7421,674,16,8010,757,4,1633,1037,213,99,130,86,234,119,2160,4982,10795,3863,4167,4600
Boothby,58582,10841,201,325,6490,23315,894,75,119,43,41,7673,652,4,7477,548,3,1835,639,151,87,145,47,143,73,1733,6928,20267,4928,4677,6304
Bowman,56740,10258,159,220,6306,24115,1646,86,200,88,42,6672,793,11,8272,1066,3,1122,1061,211,95,59,45,125,101,1634,2883,10888,4403,3593,4101
Braddon,35111,8539,66,106,4840,15450,1281,102,184,54,31,3252,494,19,4440,535,6,525,308,162,70,31,13,40,41,634,1987,12382,4717,3649,3758
Bradfield,69958,4725,207,156,4884,29720,670,31,59,58,44,11759,576,0,7802,425,3,1333,1143,143,76,155,61,279,83,1749,2913,9591,2679,3496,5477
Brand,53130,14059,180,265,7223,31226,2103,138,366,174,81,6154,929,22,7659,1146,19,1416,889,284,99,102,46,181,113,1568,3095,11421,4744,7914,7293
Brisbane,42416,15607,1201,589,3976,18655,737,10,58,40,29,5330,395,6,3790,335,3,2476,356,96,57,190,62,134,91,2784,17750,19970,5221,8777,8647
Bruce,65328,6045,111,110,8718,28567,1088,15,272,202,99,9862,660,0,13424,986,9,3112,1849,318,112,432,157,587,213,3441,6290,11540,4231,6848,3625
Burt,60192,10903,125,227,7396,32459,1673,157,371,180,79,7983,717,14,9374,995,17,2233,1244,263,115,229,94,353,157,2322,3947,10778,3813,5924,4450
Calare,52685,11024,188,246,7017,26785,1609,266,427,148,61,5251,615,49,7162,690,10,945,706,278,129,72,56,114,67,1189,3677,16432,6016,8832,8549
Calwell,59968,5523,116,138,7518,33311,936,18,245,162,48,10556,586,4,13863,953,0,2190,1452,225,114,259,87,328,182,1530,2706,7504,3444,6609,1967
Canberra,38023,9873,458,491,3622,16618,643,47,165,77,27,4695,370,11,3577,308,4,1020,562,136,94,117,75,160,59,1475,8976,14505,4355,4918,12198
Canning,52817,11624,123,233,5776,23856,1640,183,307,122,55,5212,695,23,6877,882,11,973,743,247,81,76,45,121,78,1238,2535,11766,5746,6269,5677
Capricornia,48944,11970,94,194,6020,26274,1606,140,291,118,66,4559,575,20,6570,714,0,1122,728,240,99,70,60,150,80,1344,3412,12850,5757,8039,10133
Casey,55136,11581,191,228,6259,25000,1344,47,193,74,50,7417,767,12,9729,1147,12,1063,817,162,69,48,45,118,118,1368,2239,10737,4758,4690,3832
Chifley,58827,6982,147,200,9636,34382,1280,191,545,327,82,9732,712,24,14688,1183,19,2420,1941,478,204,290,143,605,253,2248,2713,8124,3702,6944,2237
Chisholm,64905,6531,232,198,6400,25609,654,17,89,61,58,10814,518,5,8955,464,6,2094,1223,174,95,254,77,373,177,3349,9541,13734,3711,4512,5215
Clark,30117,8660,231,252,4791,14409,796,69,65,43,17,3917,429,0,4010,394,4,880,301,99,12,67,0,37,36,1130,5567,13156,3911,3930,4520
Cook,53802,7887,142,174,5387,22648,708,38,97,37,21,7042,528,0,9068,721,0,1116,953,224,117,84,57,163,94,959,2912,12639,3342,4755,3351
Cooper,47458,12623,616,1150,5921,22704,573,0,96,28,23,6187,250,0,7947,244,0,2187,748,109,34,187,26,172,82,2439,11869,16469,4380,7625,5115
Corangamite,50445,9274,94,314,4647,22961,1045,56,147,48,30,5533,593,7,5636,624,4,670,427,134,55,66,37,68,62,924,3326,11222,6044,4778,5260
Corio,48272,10099,215,217,7244,23152,1014,40,201,73,41,6483,606,7,7750,716,0,1305,618,228,126,80,53,114,112,1199,5042,16765,4845,5740,6094
Cowan,54466,9244,129,177,6304,28010,1291,108,306,147,63,7960,700,21,9427,961,9,1668,1010,228,82,183,75,336,114,1671,3097,8754,3262,4430,3297
Cowper,53245,11301,189,344,8249,23208,1363,159,469,165,42,5062,614,23,7098,760,10,1042,1004,340,145,75,64,120,121,1616,4563,18300,6096,7237,6282
Cunningham,53520,9533,190,291,6668,24313,906,61,216,88,32,6990,592,8,8909,686,6,1290,805,289,153,51,51,129,114,1572,7237,14860,4841,5221,5744
Curtin,49833,9706,252,221,4224,22585,613,13,39,46,21,7736,508,0,4825,330,3,1396,418,129,62,88,35,110,62,1251,6170,14975,3723,5925,7790
Dawson,49658,12322,106,196,6063,25557,1564,120,307,76,57,4895,612,15,6450,695,6,1101,681,227,93,87,52,127,92,1354,4211,13575,5531,7056,10956
Deakin,59570,8350,167,219,6224,25969,849,26,97,51,18,8341,627,8,8817,766,4,1469,900,200,89,150,72,236,95,1373,3569,13336,3712,3733,4511
Dickson,58954,10396,196,341,6053,29107,1668,76,206,88,51,7514,812,11,8464,923,3,1229,1078,202,81,79,52,159,108,1561,2683,8416,3752,3860,3238
Dobell,51394,10418,205,298,8356,25704,1642,279,386,117,61,6094,781,35,9412,1231,20,1233,1249,369,168,45,68,132,113,1786,3399,13844,4748,5606,4892
Dunkley,50665,11640,195,262,7716,25198,1302,57,249,67,39,6672,802,16,9096,1108,13,1387,913,199,91,68,45,135,105,1441,3498,14347,4268,6399,3969
Durack,46219,17503,102,208,6142,29483,1779,218,877,595,134,3526,467,17,5781,736,10,1427,754,536,185,255,225,478,341,1504,3744,14355,8057,12123,23995
Eden-Monaro,52288,11721,206,289,5365,22690,1333,114,282,81,34,5073,646,24,6400,706,16,862,639,193,89,48,39,98,73,959,2746,15201,6013,7283,6035
Fadden,55810,13442,216,282,7541,26556,1673,90,227,121,64,6200,810,6,8068,1026,9,1426,1150,239,96,119,68,207,122,2284,5596,12058,4269,8805,4646
Fairfax,53446,11211,195,237,6157,23975,1315,40,187,56,53,5163,598,4,6302,762,11,1047,915,170,81,46,38,112,92,1846,5011,12751,5138,5711,4869
Farrer,56226,10924,100,180,6386,26251,1356,192,422,135,46,5095,500,21,7193,649,11,973,591,279,118,76,58,103,78,1006,3984,17604,6908,9495,7007
Fenner,49259,9923,317,475,4926,27030,1221,68,147,104,51,5675,686,13,5297,677,3,1390,754,145,78,135,70,252,126,1922,4970,9822,3598,4518,3198
