,DivisionNm,CountNumber,BallotPosition,PartyAb,PartyNm,Elected,HistoricElected,PreferenceCount,PreferencePercent
2,Adelaide,4,3,ALP,Australian Labor Party,Y,Y,62362.0,58.18
4,Adelaide,4,5,LP,Liberal,N,N,44819.0,41.82
6,Aston,3,1,LP,Liberal,Y,Y,60180.0,60.13
8,Aston,3,3,ALP,Australian Labor Party,N,N,39910.0,39.87
16,Ballarat,5,6,LP,Liberal,N,N,40068.0,39.02
17,Ballarat,5,7,ALP,Australian Labor Party,Y,Y,62615.0,60.98
18,Banks,4,1,LP,Liberal,Y,Y,51609.0,56.26
20,Banks,4,3,ALP,Labor,N,N,40121.0,43.74
26,Barker,5,3,LP,Liberal,Y,Y,72851.0,68.94
30,Barker,5,7,ALP,Australian Labor Party,N,N,32815.0,31.06
31,Barton,4,1,ALP,Labor,Y,Y,53418.0,59.41
32,Barton,4,2,LP,Liberal,N,N,36489.0,40.59
38,Bass,5,2,ALP,Australian Labor Party,N,Y,34085.0,49.59
40,Bass,5,4,LP,Liberal,Y,N,34648.0,50.41
49,Bean,6,6,LP,Liberal,N,N,39484.0,42.48
50,Bean,6,7,ALP,Australian Labor Party,Y,N,53455.0,57.52
54,Bendigo,5,3,ALP,Australian Labor Party,Y,Y,60016.0,59.04
56,Bendigo,5,5,LP,Liberal,N,N,41645.0,40.96
59,Bennelong,3,1,ALP,Labor,N,N,41496.0,43.09
61,Bennelong,3,3,LP,Liberal,Y,Y,54809.0,56.91
65,Berowra,7,2,LP,Liberal,Y,Y,61675.0,65.65
71,Berowra,7,8,ALP,Labor,N,N,32272.0,34.35
75,Blair,7,3,ALP,Australian Labor Party,Y,Y,49123.0,51.21
77,Blair,7,5,LNP,Liberal National Party of Queensland,N,N,46802.0,48.79
83,Blaxland,3,2,LP,Liberal,N,N,28509.0,35.28
84,Blaxland,3,3,ALP,Labor,Y,Y,52299.0,64.72
90,Bonner,4,4,LNP,Liberal National Party of Queensland,Y,Y,54072.0,57.41
92,Bonner,4,6,ALP,Australian Labor Party,N,N,40115.0,42.59
97,Boothby,6,5,LP,Liberal,Y,Y,56812.0,51.38
98,Boothby,6,6,ALP,Australian Labor Party,N,N,53765.0,48.62
102,Bowman,4,2,LNP,Liberal National Party of Queensland,Y,Y,59237.0,60.24
106,Bowman,4,6,ALP,Australian Labor Party,N,N,39102.0,39.76
110,Braddon,7,4,LP,Liberal,Y,N,37151.0,53.09
114,Braddon,7,8,ALP,Australian Labor Party,N,Y,32822.0,46.91
117,Bradfield,3,2,LP,Liberal,Y,Y,63997.0,66.56
120,Bradfield,3,5,ALP,Labor,N,N,32146.0,33.44
122,Brand,6,2,ALP,Australian Labor Party,Y,Y,50333.0,56.66
123,Brand,6,3,LP,Liberal,N,N,38508.0,43.34
130,Brisbane,5,2,LNP,Liberal National Party of Queensland,Y,Y,55995.0,54.92
134,Brisbane,5,6,ALP,Australian Labor Party,N,N,45962.0,45.08
138,Bruce,3,3,LP,Liberal,N,N,33351.0,35.85
139,Bruce,3,4,ALP,Australian Labor Party,Y,Y,59689.0,64.15
142,Burt,7,2,ALP,Australian Labor Party,Y,Y,48414.0,54.99
146,Burt,7,6,LP,Liberal,N,N,39626.0,45.01
152,Calare,5,3,ALP,Labor,N,N,38282.0,36.71
154,Calare,5,5,NP,The Nationals,Y,Y,66006.0,63.29
159,Calwell,6,3,ALP,Australian Labor Party,Y,Y,60164.0,68.8
164,Calwell,6,8,LP,Liberal,N,N,27288.0,31.2
166,Canberra,4,2,ALP,Australian Labor Party,Y,N,57961.0,67.08
168,Canberra,4,4,LP,Liberal,N,N,28442.0,32.92
176,Canning,6,6,LP,Liberal,Y,Y,55947.0,61.55
177,Canning,6,7,ALP,Australian Labor Party,N,N,34945.0,38.45
183,Capricornia,7,5,LNP,Liberal National Party of Queensland,Y,Y,55475.0,62.35
184,Capricornia,7,6,ALP,Australian Labor Party,N,N,33492.0,37.65
194,Casey,8,7,LP,Liberal,Y,Y,54551.0,54.64
195,Casey,8,8,ALP,Australian Labor Party,N,N,45277.0,45.36
202,Chifley,4,5,LP,Liberal,N,N,34245.0,37.63
203,Chifley,4,6,ALP,Labor,Y,Y,56761.0,62.37
207,Chisholm,7,4,LP,Liberal,Y,N,48005.0,50.57
211,Chisholm,7,8,ALP,Australian Labor Party,N,N,46915.0,49.43
213,Clark,3,1,IND,Independent,Y,Y,48653.0,72.12
214,Clark,3,2,ALP,Australian Labor Party,N,N,18808.0,27.88
218,Cook,5,1,LP,Liberal,Y,Y,64894.0,69.02
220,Cook,5,3,ALP,Labor,N,N,29129.0,30.98
229,Cooper,6,5,GVIC,The Greens (VIC),N,N,34464.0,35.35
231,Cooper,6,7,ALP,Australian Labor Party,Y,Y,63017.0,64.65
234,Corangamite,6,2,ALP,Australian Labor Party,Y,N,51895.0,51.07
238,Corangamite,6,6,LP,Liberal,N,Y,49725.0,48.93
