Australian Bureau of Statistics,,,,,,,,,,,,
,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,
CED (UR) by HEAP - 1 Digit Level,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,
,,,,,,,,,,,,
HEAP - 1 Digit Level,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
CED (UR),,,,,,,,,,,,
Banks,8333,1948,22905,12431,15745,41077,64,10355,5982,9559,27413,155804
Barton,11693,2173,28881,13387,13648,43563,48,11617,6954,13331,27569,172852
Bennelong,17086,3045,35865,13314,11803,37442,58,7136,5692,9112,28399,168948
Berowra,10987,3206,27253,12612,13457,31440,51,5775,4852,7493,28000,145132
Blaxland,5455,1062,17320,11047,13942,50986,141,15070,9097,13620,36885,174633
Bradfield,17943,3765,38836,12226,6802,31004,15,5014,4733,8044,31880,160251
Calare,2915,1963,12813,9831,25460,39257,200,13945,4329,18558,32032,161298
Chifley,5124,1047,17292,10415,17886,48324,172,13730,5487,12555,39229,171251
Cook,5390,2010,19228,12946,18318,33775,65,7490,5222,9728,24889,139060
Cowper,2628,1934,12997,11273,25861,39968,268,14583,4883,17525,27400,159322
Cunningham,7441,2738,19369,11834,21861,36431,134,11761,5124,11538,27152,155381
Dobell,2314,1431,10959,10946,26024,41151,173,12647,4441,14031,29956,154063
Eden-Monaro,4749,2741,14562,10777,22277,36400,134,10335,3820,15107,26633,147532
Farrer,2071,1771,11544,9498,25016,43171,191,16245,4242,18830,31391,163981
Fowler,2817,708,13307,9892,14348,50107,180,17744,10565,13247,31328,164235
Gilmore,3199,2344,12205,11219,26360,36395,188,13112,4729,16461,24228,150435
Grayndler,15067,4137,34600,11411,10018,27414,34,6627,4276,12620,23311,149514
Greenway,9687,2011,23962,12788,17601,40648,97,9351,4950,10401,38566,170068
Hughes,5799,2307,19004,13075,20999,34299,61,6905,4894,7020,29925,144288
Hume,3055,1725,11628,11139,26135,37956,125,10787,4185,12436,31465,150643
Hunter,2354,1366,10061,9732,28918,39936,195,15033,4249,14287,30658,156796
Kingsford Smith,14374,2829,33999,12613,14199,41800,47,7764,5161,16774,26669,176232
Lindsay,3856,1420,12490,11066,25407,46557,141,12561,4582,13120,35327,166527
Lyne,1959,1550,9798,9962,25607,37052,193,15206,4605,15606,23935,145480
Macarthur,3980,1298,12863,11209,22600,45997,172,11438,5116,11436,35903,162020
Mackellar,6925,2627,23742,14638,17223,33202,84,5883,5373,10108,28813,148607
Macquarie,5469,2742,15821,12209,22583,33251,87,8436,4223,9684,26930,141441
McMahon,3730,1036,14257,10794,18187,47840,143,15339,8465,11502,34402,165697
Mitchell,10558,2610,26965,13428,14586,34329,43,6207,4962,6314,33442,153450
New England,3266,1766,11730,9096,22787,39521,200,14682,4111,17297,29732,154187
Newcastle,6715,2546,21609,11293,21779,37370,128,10492,3987,11089,25948,152949
North Sydney,19354,4337,43115,12712,7493,27862,35,4234,4409,10582,27395,161524
Page,2457,1984,12734,10141,25934,41027,211,15099,4611,16791,28125,159107
Parkes,1722,1369,10069,7738,21953,40353,197,16155,3520,19295,31393,153770
Parramatta,16197,2427,32519,13286,13294,41922,85,9577,6990,14031,35998,186324
Paterson,2092,1331,9668,10259,28687,40488,194,14668,4119,13148,30967,155632
Reid,16750,3098,38153,13914,11432,40939,44,8408,6274,15033,27300,181347
Richmond,3450,2271,15501,11875,23471,38382,133,10874,4438,17080,25434,152911
Riverina,2233,1526,11608,8672,24210,40992,195,15160,3937,16556,30697,155790
Robertson,3853,2002,15067,11908,22479,36272,115,9857,4531,11918,25101,143099
Shortland,2916,1742,12968,10298,25631,36807,165,13026,4257,10398,26267,144483
Sydney,22925,4189,54601,15754,10519,42192,55,4525,4981,26732,13707,200179
Warringah,12870,3479,34066,12786,10378,26988,37,4064,4336,10319,28008,147334
Watson,8181,1658,22158,11837,13404,48068,59,13457,8001,12772,35210,174807
Wentworth,15044,3334,39478,10920,7330,24938,14,3090,3760,15658,22384,145952
Werriwa,4088,993,14956,11302,17863,48926,140,13435,7467,12652,39092,170906
Whitlam,3031,1654,11081,10926,26062,39531,145,13432,4958,12399,29065,152281
No usual address (NSW),369,118,1250,662,1412,2946,15,824,332,3611,741,12288
Migratory - Offshore - Shipping (NSW),9,0,33,29,59,121,0,43,16,77,39,419
Aston,5282,2387,18036,11499,18095,36737,69,8632,3634,7829,23821,136015
Ballarat,3977,3321,15065,11005,23012,39062,135,12677,3043,13654,29523,154479
Batman,11602,4899,28930,11410,13143,34525,67,13128,4890,13755,25611,161968
Bendigo,3792,3530,15057,10422,22444,36095,153,12400,3409,15086,28036,150428
Bruce,8762,2369,22700,12302,13444,40460,108,12195,6451,11731,26485,157007
Calwell,3458,1566,14214,11059,18091,47174,146,17017,6506,12731,33453,165410
Casey,2802,2531,12965,11901,24719,37081,110,9896,3391,9982,27378,142764
Chisholm,13468,4132,32598,13305,11042,40503,45,9245,4475,10533,25088,164432
Corangamite,4726,3459,19105,12969,22295,35470,80,9994,3222,11638,29773,152745
Corio,3159,2415,13759,10894,22928,37868,148,14090,3719,14685,26242,149917
Deakin,8257,4010,24308,12654,15254,33814,76,8848,4147,8657,26752,146766
Dunkley,3318,2702,14654,12675,22881,37786,133,9667,3621,12569,26378,146376
Flinders,2608,2572,12706,12689,26040,39801,129,11838,3943,14476,26700,153496
Gellibrand,8792,4085,26090,11901,15460,38446,116,13388,5421,13403,28777,165874
Gippsland,1805,2027,9782,9331,24567,36402,155,13799,3256,16874,25036,143030
Goldstein,11177,4671,31736,12561,9635,31034,32,6261,3532,9222,27761,147624
Gorton,4101,1867,17820,13026,23648,51890,150,14915,6156,15009,46113,194692
Higgins,15260,5072,41120,12081,8326,29906,33,5383,3475,11429,21855,153939
Holt,5162,1851,17136,15359,26043,52646,197,14535,6933,14202,45804,199865
Hotham,7051,2752,21771,11704,14026,38415,83,12593,5992,9934,26957,151284
Indi,2286,2534,11181,10814,23463,34711,135,12108,3279,14482,25184,140185
Isaacs,5322,2742,18775,12984,19361,41013,106,10985,5431,11571,30368,158653
Jagajaga,8783,4638,24296,11493,14956,31093,50,7906,3324,8627,26136,141300
Kooyong,14981,5156,36526,10596,6721,29654,30,5569,3233,8716,24214,145397
La Trobe,4800,2940,17283,13926,23178,39513,62,8993,3793,9207,33255,156961
Lalor,12246,3047,26978,17505,25526,54529,161,13755,6074,15603,56553,231980
Mallee,1221,1602,8672,8160,20170,37748,158,16362,3311,16302,24885,138597
Maribyrnong,6839,2975,23464,11846,15386,42637,92,15269,6203,13969,27746,166420
McEwen,5110,3168,18697,16569,31852,52514,138,13381,5131,14855,49117,210529
McMillan,2519,2363,11743,11691,28794,42095,158,14849,3755,15613,33744,167327
Melbourne,22272,6168,56383,13950,10020,46217,79,6299,5070,22843,19288,208588
Melbourne Ports,16071,5315,41746,12945,10152,29873,41,4616,3702,17005,19236,160704
Menzies,8013,3226,24564,11457,12388,33748,43,9066,4112,8111,22810,137534
Murray,1591,1928,9169,8961,21842,38320,182,16316,3511,16729,26825,145367
