Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,,,,
CED (UR) by INCP Total Personal Income (weekly),,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INCP Total Personal Income (weekly),"$3,000 or more ($156,000 or more)","$2,000-$2,999 ($104,000-$155,999)","$1,750-$1,999 ($91,000-$103,999)","$1,500-$1,749 ($78,000-$90,999)","$1,250-$1,499 ($65,000-$77,999)","$1,000-$1,249 ($52,000-$64,999)","$800-$999 ($41,600-$51,999)","$650-$799 ($33,800-$41,599)","$500-$649 ($26,000-$33,799)","$400-$499 ($20,800-$25,999)","$300-$399 ($15,600-$20,799)","$150-$299 ($7,800-$15,599)",Nil income,"$1-$149 ($1-$7,799)",Negative income,Not stated,Not applicable,Total
CED (UR),,,,,,,,,,,,,,,,,,
Banks,3329,6560,4478,6198,7553,11218,10863,9635,9245,10235,10775,8843,15185,5502,697,8081,27413,155804
Barton,3017,7039,4623,6867,8450,12729,12450,10736,10149,11344,12286,9302,18236,5375,878,11811,27569,172852
Bennelong,6135,10350,6043,8009,8756,12214,10223,8691,8609,8933,9035,8577,19640,6311,726,8294,28399,168948
Berowra,7894,10050,5295,6782,7228,9322,8350,7492,7640,7172,7096,6739,12840,6136,428,6673,28000,145132
Blaxland,970,2859,2415,3987,5793,9939,11165,10696,10449,12048,14562,13271,20136,5932,1319,12207,36885,174633
Bradfield,14980,11679,5617,7027,7386,9269,8198,6822,6904,6444,6141,6523,16525,6596,561,7698,31880,160251
Calare,2456,5550,4019,5349,6294,9727,10193,10161,10327,12476,12672,9618,8898,5022,610,15881,32032,161298
Chifley,894,3318,3235,5206,7600,12533,13215,11380,9337,10382,11907,10149,16024,5269,982,10593,39229,171251
Cook,5966,8032,5124,7113,7742,10217,9228,8255,7957,8215,7601,6013,9311,4514,437,8458,24889,139060
