Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,,,,,,,,,,,,
CED (UR) by INDP - 1 Digit Level,,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INDP - 1 Digit Level,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Health Care and Social Assistance,Education and Training,Arts and Recreation Services,Other Services,Inadequately described,Not stated,Not applicable,Total
CED (UR),,,,,,,,,,,,,,,,,,,,,,,
Banks,159,86,4186,568,5807,2610,7001,5362,4909,1517,4856,1391,6100,2642,4031,8245,5828,1114,2679,2545,1087,83076,155804
Barton,118,84,3642,435,6023,2544,8210,7856,5801,2164,5238,1459,7429,3830,4180,9092,5877,1331,2917,2893,1543,90176,172852
Bennelong,157,108,3959,536,4972,3830,7286,5252,2627,3315,6068,1789,10341,2748,3825,9792,7472,1162,2811,2828,1097,86973,168948
Berowra,702,150,3555,546,6066,3225,6447,3443,1976,2280,4772,1446,8751,2129,3420,9059,7828,1081,2508,2255,669,72838,145132
Blaxland,140,37,5261,384,6907,2306,6893,4742,4744,1115,2642,817,3425,2613,2639,7233,3827,729,2676,3424,1894,110172,174633
Bradfield,236,211,2791,409,3274,3239,6136,3961,1766,2985,7468,1889,12407,2217,2781,9958,7037,1086,2149,2497,727,85033,160251
Calare,4489,3766,4340,934,5219,1324,6768,4797,2427,664,991,822,2559,1960,5180,9400,6285,707,2670,1668,774,93544,161298
Chifley,368,107,6423,727,5573,3227,7612,4149,6396,1244,3647,764,3162,2650,4015,9354,3664,687,2438,3186,1453,100407,171251
Cook,149,125,3549,572,7158,2391,6558,3997,5023,1240,3762,1764,5891,2277,4150,7752,5655,1241,2669,2404,805,69929,139060
Cowper,2102,194,2504,962,5899,1024,7207,5726,2132,538,975,1003,2534,2216,3444,10490,5534,785,2287,1364,739,99674,159322
Cunningham,201,1342,3731,636,5791,1378,6054,5190,2855,913,2660,1017,4354,2190,5096,10042,8913,1094,2601,1688,690,86938,155381
Dobell,469,375,4601,779,7375,1642,7632,5071,2591,1103,1977,1057,2959,2272,4074,9773,4747,939,2781,2015,724,89113,154063
Eden-Monaro,4208,193,3589,1064,6364,1123,6133,5574,2313,763,854,999,3792,2117,11048,7220,5149,1378,2393,1837,762,78663,147532
Farrer,9133,239,7574,905,5522,1650,7130,5138,3065,497,1063,673,2415,1972,4086,8396,5817,599,2661,2013,942,92475,163981
Fowler,347,76,7100,429,5743,2286,6475,3937,3980,918,2493,788,2732,2191,2394,6207,3334,762,2734,3400,1654,104266,164235
Gilmore,1155,353,2666,613,6149,777,6514,5420,1924,486,872,904,2566,2177,5371,8259,4912,830,2091,1477,679,94234,150435
Grayndler,137,96,2854,481,4133,2225,5897,5499,2570,4598,6356,1531,12022,2950,5219,9053,8601,2489,2525,2370,837,67063,149514
Greenway,323,107,6196,845,6618,3714,8484,4375,5072,1900,5232,1107,6021,2583,5247,10099,5975,899,2961,3079,1187,88032,170068
Hughes,121,121,4293,774,6966,2493,6749,3955,4739,1401,4342,1253,6374,2289,6214,8523,7257,1294,3015,2220,676,69216,144288
Hume,2795,830,5137,944,8882,2098,7094,4159,4300,686,1733,1236,3405,2165,5353,8178,6455,942,2971,2475,845,77950,150643
Hunter,1380,6543,4348,1357,5690,1430,6452,4942,2617,467,1290,917,2448,2484,3473,8568,4518,680,3052,1819,768,91563,156796
Kingsford Smith,136,119,2747,503,6267,2305,6785,6216,4977,2640,5622,1887,9205,3334,5295,10303,8569,2072,2797,2597,986,90878,176232
Lindsay,607,157,6112,1135,9065,2998,8360,4752,5391,1011,3386,1275,3458,2631,5841,8860,5889,1103,3102,3152,1136,87122,166527
Lyne,2803,1036,2873,881,5372,918,6040,4210,2126,370,782,891,2124,1826,2469,8244,4474,586,2205,1336,707,93200,145480
Macarthur,404,195,6743,754,7100,2660,8184,4523,5759,1008,3102,1163,3400,2547,4527,8566,5391,864,2734,3003,1153,88261,162020
Mackellar,296,119,3631,435,7543,3302,7440,4368,2101,2448,3833,1697,8532,2733,3129,8332,6541,1461,3030,2936,822,73895,148607
Macquarie,1217,236,4159,856,7830,1843,6049,4338,2793,1082,1737,1103,3790,2053,5495,8421,8066,1405,2725,2289,687,73278,141441
McMahon,289,93,5866,610,7900,2719,6982,3918,4857,1013,3366,986,3359,2326,3493,7066,4088,759,2770,3070,1384,98782,165697
Mitchell,230,130,4874,768,6620,3786,7888,3697,2554,2051,5364,1540,7740,2149,4192,9260,7335,1088,2820,2594,800,75941,153450
New England,8220,1292,3772,638,4457,1481,6582,4347,2489,514,1042,735,2459,1880,3648,8463,6938,610,2367,1604,891,89761,154187
Newcastle,284,1378,3805,947,5408,1386,6793,6231,2567,870,2477,1080,5190,2112,5148,13448,7430,1046,2652,1606,688,80398,152949
North Sydney,219,245,2784,443,3651,3181,5914,4608,2073,4324,9955,2432,16397,2912,3663,9584,6775,1518,2270,2725,752,75090,161524
Page,4810,322,4090,566,5005,1111,6926,4691,2235,498,914,834,2383,1861,3744,9978,5784,722,2370,1559,833,97874,159107
Parkes,10048,3073,2452,818,3935,1568,5911,4253,2436,448,869,561,2089,1711,4395,8224,5888,614,2613,1632,951,89269,153770
Parramatta,161,84,5074,640,6219,3408,7923,5463,4354,2219,5619,1216,9040,3199,4423,10726,5471,981,2626,3251,1513,102715,186324
Paterson,825,3093,4961,777,5916,1292,7150,5312,3229,452,1402,1000,2757,2435,4929,8478,4268,666,2942,1899,691,91154,155632
Reid,177,139,4055,507,5928,3609,8132,7084,3386,2574,7489,2328,10588,3476,4340,10327,6644,1397,2770,3400,1433,91554,181347
Richmond,1809,399,2643,505,6326,1103,6888,6493,2124,702,980,1278,3330,2483,3026,9631,5765,1148,2223,2094,880,91094,152911
Riverina,8288,1000,4226,727,4646,1690,6889,4418,3076,465,1015,651,2348,1726,5224,8891,6211,545,2577,1702,842,88630,155790
Robertson,574,240,3253,559,6651,1541,6412,4636,2151,1453,2429,1188,4207,2278,3970,9950,5236,1040,2565,1870,670,80218,143099
Shortland,194,1321,3889,982,6903,1341,6625,4460,2474,607,2134,883,3268,2040,3811,10197,5437,752,2530,1661,565,82404,144483
Sydney,190,203,2747,475,4187,2701,8108,13837,3409,5597,9716,2307,18354,4781,6507,9270,8526,3216,3106,3741,1419,87786,200179
Warringah,210,182,2714,441,4943,2704,5771,4552,2032,3213,7908,2251,13027,2889,3235,7815,6146,1626,2366,2748,689,69868,147334
Watson,129,43,4007,354,6364,2189,7540,5872,5192,1400,3515,1106,4618,3195,3410,8070,5020,919,2931,3010,1687,104244,174807
Wentworth,200,132,1953,301,4027,2191,5374,5081,1972,4005,7934,2640,14347,3239,3152,8018,6078,2225,2177,2935,794,67161,145952
Werriwa,582,85,6984,597,7018,2713,7318,4005,5718,1002,3304,914,3266,2410,3707,7841,4496,672,2690,3273,1483,100822,170906
Whitlam,701,1231,4447,728,6686,1382,7440,4883,3268,586,1968,1022,2871,2415,3939,9244,5223,811,2839,1981,737,87886,152281
No usual address (NSW),143,38,174,29,383,64,226,390,169,62,92,51,223,155,212,268,182,111,104,161,85,8959,12288
Migratory - Offshore - Shipping (NSW),3,0,10,0,7,7,16,8,6,0,9,3,11,6,0,23,6,0,5,7,13,286,419
Aston,203,98,6788,699,6496,3551,8320,3787,2532,1356,2623,987,4929,2274,2916,8345,5410,1049,2820,2666,751,67421,136015
Ballarat,1857,528,5215,667,6679,1502,7161,4964,3057,1219,1199,834,3626,1799,4334,10450,7027,1350,2398,1782,788,86043,154479
Batman,303,132,4429,726,4853,2005,7279,5887,2925,2193,3341,1056,7947,2841,5051,10341,8566,2130,2598,2461,1016,83888,161968
Bendigo,2039,895,5810,770,5822,1198,7085,4344,2293,854,2258,729,3244,1863,4120,10449,6082,1087,2398,1824,648,84613,150428
Bruce,271,73,6922,552,4491,2869,6895,4387,3109,1267,2759,1011,5390,2645,2296,7903,4818,799,2427,3040,1233,91857,157007
Calwell,213,87,6408,610,6369,2208,7308,4415,6668,912,2270,955,3152,2585,3407,6727,4837,903,2593,2737,1318,98730,165410
Casey,1560,162,6954,755,9624,2617,7461,3623,2351,944,1610,1036,4007,2421,3188,8326,5726,1199,3342,2738,922,72208,142764
Chisholm,188,115,4259,655,4096,2725,7531,5498,2333,1797,3801,1403,8085,2787,2994,9465,7603,1405,2471,2355,918,91959,164432
Corangamite,2694,247,5178,735,7166,1685,7738,5347,2456,876,1772,984,4100,2057,4345,10198,7576,1287,2383,1839,733,81341,152745
Corio,797,190,5314,875,6259,1494,7526,4689,3161,692,1811,789,3203,2085,3986,9764,5484,1029,2381,1883,880,85629,149917
Deakin,224,107,4733,710,5455,2765,7167,3950,2230,1727,3303,1172,6937,2489,3713,9361,7180,1179,2701,2220,737,76696,146766
Dunkley,427,172,5701,720,8068,2417,7634,3787,2273,917,1679,1160,3995,2303,3255,9386,5919,1310,2569,2594,856,79233,146376
Flinders,2089,275,4928,745,9738,1965,7445,4479,2201,559,1043,1282,3290,2654,3806,7928,5215,1760,2702,2343,853,86206,153496
Gellibrand,287,168,5743,897,5183,2475,7006,5592,5167,2061,3796,1282,6993,3134,5017,8071,7198,1992,2674,2796,1137,87225,165874
Gippsland,4492,1043,4015,2064,5169,1010,6301,4132,1902,453,786,641,1973,1548,4217,8153,4739,639,2110,1552,747,85355,143030
Goldstein,205,229,3658,645,4315,2644,6629,3854,1990,2006,4736,1835,10362,2358,3039,8398,7193,1839,2059,2591,625,76432,147624
Gorton,413,184,8184,927,7794,2951,9142,5247,8705,1282,3265,1138,3910,3234,4241,9062,5471,1292,3161,3287,1474,110334,194692
Higgins,287,249,3442,760,3655,2716,7648,5436,1973,2510,6186,2261,13272,2887,3351,10054,7383,2198,2099,2504,807,72252,153939
Holt,606,137,12119,946,8580,4172,10106,4696,5524,1254,2775,1028,3924,3288,3243,11195,4698,1101,3615,4177,1626,111065,199865
Hotham,499,110,6886,679,4753,2822,7493,4484,2915,1425,3294,1074,5792,2682,2830,7909,5499,1310,2826,2787,1090,82124,151284
Indi,4654,231,5818,592,5333,1384,6212,5000,2697,459,872,714,2262,2022,5133,8700,5103,786,2267,1762,817,77355,140185
Isaacs,557,120,8437,777,7122,3358,7963,4067,3197,1292,3070,1162,5326,2599,3580,8751,5886,1355,2906,3191,1022,82918,158653
Jagajaga,237,175,4048,669,6051,2153,6153,3320,2347,1574,3118,1151,6997,2070,4815,10241,8104,1553,2316,1936,652,71624,141300
Kooyong,261,215,3114,568,3220,2334,6825,4647,1674,2084,4834,1874,10715,2070,2996,10192,7486,1672,1758,2143,690,74035,145397
La Trobe,714,174,7575,873,9207,3487,8356,4185,3113,1374,2360,1173,5055,2550,3518,9330,7178,1368,3320,3059,853,78154,156961
Lalor,763,183,8520,1374,7780,3841,10765,6441,10619,2202,5044,1602,7058,4045,5883,11517,6810,1870,3387,3645,1707,126938,231980
Mallee,9321,483,3553,744,3897,1504,6281,3743,2513,432,859,456,1783,1841,3160,8257,4641,642,2104,1654,838,79879,138597
Maribyrnong,375,139,5938,632,5592,2260,7622,5388,5276,1427,3607,1183,5894,2900,4130,7907,6139,1596,2771,2947,1311,91387,166420
McEwen,1234,264,8378,1272,11771,2978,9955,5379,8152,1342,3072,1374,4937,3290,6979,11507,7788,1446,4004,3386,1187,110833,210529
McMillan,5126,472,5920,1546,8234,2152,7583,4161,3099,738,1320,911,3064,2088,3361,8739,5644,1011,3032,2326,1038,95751,167327
