Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by LFHRP Labour Force Status and Hours Worked Not Stated"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LFHRP Labour Force Status and Hours Worked Not Stated","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Employed, hours of work not stated","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Labour force status not stated","Not applicable","Total",
"CED (UR)",
"Banks",46085,23083,2066,1500,2418,2403,45079,5770,27413,155804,
"Barton",52297,26219,2255,1905,2957,2884,47775,8992,27569,172852,
"Bennelong",53794,24530,2204,1450,2673,2920,47155,5819,28399,168948,
"Berowra",45216,24034,2027,1016,1587,1733,36866,4655,28000,145132,
"Blaxland",39035,21541,1533,2358,4045,3302,57156,8780,36885,174633,
"Bradfield",47877,24328,1985,1023,1904,2051,43998,5196,31880,160251,
"Calare",41885,21869,2640,1346,2839,1733,46416,10531,32032,161298,
"Chifley",47514,19386,1892,2050,3860,2815,46894,7610,39229,171251,
"Cook",44278,21396,2219,1247,1432,1319,36509,5778,24889,139060,
"Cowper",32292,23819,2281,1259,2884,1963,57333,10098,27400,159322,
"Cunningham",40463,24374,2473,1131,2417,2748,47532,7092,27152,155381,
"Dobell",38559,22772,2405,1216,2854,2003,46285,8024,29956,154063,
"Eden-Monaro",43193,21400,2887,1398,1753,1308,39424,9553,26633,147532,
"Farrer",43839,23204,2840,1616,2556,1581,45038,11911,31391,163981,
"Fowler",37975,18568,1425,1996,3701,3316,57305,8624,31328,164235,
"Gilmore",30414,22300,2334,1161,2283,1558,56607,9552,24228,150435,
"Grayndler",56491,22348,2405,1200,2166,1816,29842,9936,23311,149514,
"Greenway",55927,22217,2270,1615,2931,2478,38295,5762,38566,170068,
"Hughes",48464,23211,2421,977,1456,1438,32616,3788,29925,144288,
"Hume",46679,22030,2583,1398,1913,1463,36026,7079,31465,150643,
"Hunter",39414,21991,2530,1297,3288,2041,47934,7644,30658,156796,
"Kingsford Smith",56459,24754,2589,1562,2282,2881,47813,11229,26669,176232,
"Lindsay",53633,21654,2546,1569,2928,2017,39231,7621,35327,166527,
"Lyne",28333,20473,2306,1160,2719,1708,56285,8559,23935,145480,
"Macarthur",49221,20600,2290,1649,3156,2340,39817,7044,35903,162020,
"Mackellar",45552,25845,2176,1148,1236,1387,36171,6294,28813,148607,
"Macquarie",42079,22778,2198,1107,1678,1552,37081,6045,26930,141441,
"McMahon",43852,19419,1772,1867,3317,2556,51479,7031,34402,165697,
"Mitchell",51108,23315,2004,1083,1829,1998,35155,3515,33442,153450,
"New England",39385,21201,2389,1450,2679,1750,45039,10561,29732,154187,
"Newcastle",43045,25734,2636,1143,3017,2669,41206,7560,25948,152949,
"North Sydney",60427,22441,2474,1089,2085,1782,35849,7977,27395,161524,
"Page",33261,24409,2272,1296,3151,2131,54333,10138,28125,159107,
"Parkes",42161,18299,2452,1591,3018,1551,41273,12034,31393,153770,
"Parramatta",56076,23485,2162,1885,4404,3234,48846,10225,35998,186324,
"Paterson",38666,22190,2478,1140,3379,2108,46692,8015,30967,155632,
"Reid",59273,26299,2405,1822,2970,2935,48508,9849,27300,181347,
"Richmond",31784,26472,2215,1346,2473,1959,49887,11341,25434,152911,
"Riverina",42062,21174,2460,1468,2481,1500,44365,9584,30697,155790,
"Robertson",37349,22236,2238,1062,2318,1850,44134,6808,25101,143099,
"Shortland",36383,22446,2338,912,2614,1990,45943,5580,26267,144483,
"Sydney",77675,29778,3039,1902,3296,3982,43615,23193,13707,200179,
"Warringah",51272,22850,2290,1051,1484,1429,31293,7645,28008,147334,
"Watson",42642,23933,1802,2184,3463,3149,53960,8457,35210,174807,
"Wentworth",54440,21110,2095,1147,1571,1437,28865,12897,22384,145952,
"Werriwa",46336,20001,1748,1996,3350,2649,47519,8210,39092,170906,
"Whitlam",38335,22582,2408,1069,2454,1915,47553,6902,29065,152281,
"No usual address (NSW)",1976,1048,146,156,701,238,4059,3215,741,12288,
"Migratory - Offshore - Shipping (NSW)",47,27,44,8,3,3,184,62,39,419,
"Aston",42531,22921,2052,1084,2072,2000,35166,4353,23821,136015,
"Ballarat",39313,25038,2767,1320,2715,2077,43577,8151,29523,154479,
"Batman",47242,27004,2351,1486,2996,2932,42601,9754,25611,161968,
"Bendigo",36890,24910,2839,1174,2302,1913,43523,8837,28036,150428,
"Bruce",39699,22208,1630,1617,3402,2893,51859,7221,26485,157007,
"Calwell",40282,22599,1862,1933,3737,2869,50873,7810,33453,165410,
"Casey",42239,24397,2625,1296,1730,1647,35786,5671,27378,142764,
"Chisholm",42579,26592,2094,1211,2704,4021,53196,6945,25088,164432,
"Corangamite",39819,27365,2987,1229,1762,1797,41087,6916,29773,152745,
"Corio",37094,23413,2515,1259,2850,2004,46483,8051,26242,149917,
"Deakin",42664,24197,2133,1073,2137,2191,40398,5217,26752,146766,
"Dunkley",40247,23403,2282,1213,2387,1944,41146,7383,26378,146376,
"Flinders",37855,25358,2727,1350,1954,1585,47399,8570,26700,153496,
"Gellibrand",49824,24816,2525,1480,3805,2913,42694,9043,28777,165874,
"Gippsland",32481,21167,2814,1221,2965,1644,45753,9949,25036,143030,
"Goldstein",42904,25234,2060,990,1732,1998,38737,6205,27761,147624,
"Gorton",53647,25947,2659,2107,4451,3235,47858,8674,46113,194692,
"Higgins",53630,24750,2175,1128,2352,2411,36868,8777,21855,153939,
"Holt",57041,27101,2551,2110,4300,3395,49032,8530,45804,199865,
"Hotham",42433,23506,1846,1374,2703,2465,43789,6211,26957,151284,
"Indi",36551,22179,2813,1279,1914,1365,40215,8681,25184,140185,
"Isaacs",48035,23876,2373,1459,2676,2304,40360,7210,30368,158653,
"Jagajaga",41648,24737,2282,1015,1879,1991,36136,5479,26136,141300,
"Kooyong",43272,25033,2026,1039,1857,2427,39359,6176,24214,145397,
"La Trobe",48363,26638,2537,1268,2261,2263,34784,5593,33255,156961,
"Lalor",68716,30908,3081,2340,5466,4042,51146,9733,56553,231980,
"Mallee",34971,19921,2432,1389,2252,1386,41565,9787,24885,138597,
"Maribyrnong",46146,24875,2233,1777,3552,2907,48120,9058,27746,166420,
"McEwen",62545,31601,3600,1957,3500,2764,46011,9446,49117,210529,
"McMillan",41704,25371,2919,1574,2820,2046,47746,9401,33744,167327,
"Melbourne",69629,31648,3180,1746,4201,6210,53754,18931,19288,208588,
"Melbourne Ports",61631,23702,2471,1231,2825,2260,33217,14124,19236,160704,
"Menzies",38183,23270,1792,1109,1861,2104,41729,4681,22810,137534,
"Murray",36141,20584,2707,1472,2157,1448,44121,9922,26825,145367,
"Scullin",46165,25419,2363,1781,3246,2617,47298,6486,32590,167967,
"Wannon",32845,21053,2680,1292,1941,1230,41080,8328,23320,133777,
"Wills",52374,27485,2547,1604,3268,2856,43374,8793,27329,169648,
"No usual address (Vic.)",1196,641,109,84,411,202,2293,1886,747,7572,
"Migratory - Offshore - Shipping (Vic.)",18,0,0,0,0,0,0,5,4,26,
"Blair",41977,19969,2420,1232,4029,2243,40858,8452,35143,156321,
"Bonner",46746,23414,2415,1048,2699,2215,36249,5957,28889,149634,
"Bowman",43931,22884,2257,1090,2640,1930,39016,5666,27610,147011,
"Brisbane",60963,27358,2622,1254,3114,2906,31169,12281,22219,163890,
"Capricornia",43267,19429,2768,1280,3774,1889,35574,11544,31192,150717,
"Dawson",47141,21218,2694,1439,4148,2063,36164,10987,30463,156313,
"Dickson",45987,23240,2513,1061,2689,2030,31879,5093,31729,146216,
"Fadden",47583,26307,2230,1382,3562,2729,43232,10244,32325,169599,
"Fairfax",38908,26405,2270,1095,2863,2350,43331,7780,28470,153467,
"Fisher",34190,23087,2214,1097,2582,2165,43047,7015,24763,140168,
"Flynn",44256,19158,2763,1440,4600,1799,35869,11303,34296,155484,
"Forde",47932,22754,2342,1473,4073,2425,39346,8014,37182,165537,
"Griffith",57193,26280,2522,1130,2855,2645,30689,9082,25197,157606,
"Groom",41798,21294,2382,1053,2917,1930,38573,8448,30474,148864,
"Herbert",47136,21914,2885,1203,4789,2769,36424,10029,32852,159999,
"Hinkler",27865,18164,1810,997,4040,2080,53524,8732,24507,141717,
"Kennedy",41403,19179,2561,1642,3893,1601,41530,11831,31751,155394,
"Leichhardt",48854,24785,2832,1570,4491,2525,39552,14250,36581,175451,
"Lilley",51186,23958,2666,1176,2904,2141,36818,6972,27559,155380,
"Longman",40140,22050,2371,1324,3967,2468,46810,8530,32937,160600,
"Maranoa",40956,19064,2436,1493,2569,1253,41086,10395,30010,149264,
"McPherson",41831,26336,2262,1239,2547,2225,39043,8630,27462,151575,
"Moncrieff",44332,27553,2094,1430,3432,2696,43287,13073,22842,160732,
"Moreton",44704,26129,2199,1300,3593,3277,41931,7052,27883,158070,
"Oxley",46256,21827,2290,1345,4201,2778,39421,8093,36999,163207,
"Petrie",46033,22773,2539,1356,3756,2503,43409,7934,32964,163268,
"Rankin",49501,23799,2358,1729,5067,3080,43913,8224,41498,179171,
"Ryan",46454,26695,2519,938,2606,3353,38509,6124,28141,155348,
"Wide Bay",29207,20769,2053,1034,3424,1899,51430,9265,25020,144096,
"Wright",43676,22965,2505,1497,2964,1925,39146,8852,32906,156442,
"No usual address (Qld)",1750,980,194,160,754,234,5144,2470,824,12515,
"Migratory - Offshore - Shipping (Qld)",37,20,12,0,6,0,58,20,9,152,
"Adelaide",45882,27080,2606,1104,3624,3095,47867,8178,24004,163440,
"Barker",38914,23027,2814,1206,2590,1438,44843,7803,26857,149501,
"Boothby",38916,26524,2607,876,2269,2331,42879,5072,24357,145832,
"Grey",33647,20025,2598,1284,3364,1617,45886,9224,25880,143524,
"Hindmarsh",41733,26154,2637,1022,2894,2382,45715,6594,22115,151244,
"Kingston",37653,24587,2751,985,3445,2242,41915,6187,28145,147907,
"Makin",41927,24132,2400,977,3242,2314,42893,4856,26770,149515,
"Mayo",34450,25196,2794,971,1845,1632,42574,6351,24554,140368,
"Port Adelaide",42573,24371,2466,1321,4490,2874,49947,6870,30170,165088,
"Sturt",39181,25583,2134,926,2580,2443,46818,4997,24497,149159,
"Wakefield",39831,23488,2670,1334,4860,2607,49612,8365,35445,168207,
"No usual address (SA)",402,246,48,35,242,68,1039,573,217,2862,
"Migratory - Offshore - Shipping (SA)",8,0,0,0,0,0,0,0,0,8,
"Brand",45364,21939,3075,1263,5199,2770,38125,9696,36599,164025,
"Burt",48394,24417,2696,1447,4971,3053,39721,7274,36808,168783,
"Canning",36012,20429,2839,1093,4045,2137,43293,8052,28118,146016,
"Cowan",42415,23480,2456,1348,3851,2460,34566,5631,31331,147537,
"Curtin",41370,24914,2168,881,2211,2357,36168,7955,25063,143092,
"Durack",58595,19302,4463,1862,4045,1645,35925,18342,37587,181762,
"Forrest",37456,23997,3254,1171,3012,1884,37778,8778,30447,147770,
"Fremantle",45161,24239,2810,1164,3522,2338,33199,8540,27764,148741,
"Hasluck",40480,21605,2555,1181,3691,2128,37612,7275,27090,143625,
"Moore",42544,26093,2638,1009,2870,2438,31141,4568,26960,140262,
"O'Connor",43205,21476,3469,1447,2874,1348,39161,12294,31046,156319,
"Pearce",52937,26501,3526,1524,4607,2898,37665,10453,41654,181766,
"Perth",50261,24188,2645,1195,3636,2543,33922,11255,21447,151089,
"Stirling",43583,24026,2352,1225,3554,2442,37518,7966,25340,147993,
"Swan",48884,25615,2688,1339,4367,3398,39973,11903,25033,163199,
"Tangney",37189,23920,2066,795,2674,2566,37830,5018,23980,136035,
"No usual address (WA)",1143,435,141,60,352,91,1846,1490,393,5950,
"Migratory - Offshore - Shipping (WA)",301,16,13,7,3,0,22,75,0,431,
"Bass",24228,16226,1761,738,2141,1517,31054,5641,18080,101389,
"Braddon",22223,14613,1829,726,2160,1162,31917,4984,17442,97058,
"Denison",26121,17666,1805,679,1758,1754,30551,5434,16801,102574,
"Franklin",26265,17502,1973,653,1427,1160,31881,4197,19401,104446,
"Lyons",22813,15492,2023,950,2066,1126,34307,6326,18407,103509,
"No usual address (Tas.)",136,89,15,9,69,30,324,169,81,911,
"Migratory - Offshore - Shipping (Tas.)",39,3,3,0,4,0,13,9,0,75,
"Lingiari",30390,9028,2004,1301,3561,1085,27942,12947,26300,114543,
"Solomon",44011,12597,2520,1311,1912,1078,17769,9516,23406,114116,
"No usual address (NT)",401,96,54,14,59,25,886,744,204,2485,
"Migratory - Offshore - Shipping (NT)",16,0,0,7,0,0,28,14,4,73,
"Canberra",67428,27611,4264,1574,2293,2520,46356,9882,34110,196042,
"Fenner",70199,29725,4256,1471,2580,2794,42531,8688,40707,202954,
"No usual address (ACT)",126,59,11,6,33,10,153,110,37,541,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,0,
"No usual address (OT)",6,0,4,0,3,3,22,10,9,54,
"Migratory - Offshore - Shipping (OT)",7,0,0,0,0,0,0,0,0,4,
"Total",6623061,3491506,369186,200087,447655,339803,6297598,1268388,4364610,23401891,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
