Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by GNGP Public/Private Sector"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"GNGP Public/Private Sector","National Government","State/Territory Government","Local Government","Private sector","Not stated","Not applicable","Total",
"CED (UR)",
"Banks",2278,6749,720,61885,1087,83076,155804,
"Barton",3048,6599,723,70754,1543,90176,172852,
"Bennelong",3720,6601,584,69975,1097,86973,168948,
"Berowra",2263,6719,630,62011,669,72838,145132,
"Blaxland",1488,4219,455,56403,1894,110172,174633,
"Bradfield",2617,5425,400,66048,727,85033,160251,
"Calare",1592,8300,1807,55278,774,93544,161298,
"Chifley",1770,6126,712,60773,1453,100407,171251,
"Cook",1962,6699,773,58901,805,69929,139060,
"Cowper",1340,5867,1751,49949,739,99674,159322,
"Cunningham",4108,9246,1231,53168,690,86938,155381,
"Dobell",1211,6808,1111,55101,724,89113,154063,
"Eden-Monaro",8542,6253,1435,51874,762,78663,147532,
"Farrer",1521,6273,1902,60867,942,92475,163981,
"Fowler",1186,4073,492,52564,1654,104266,164235,
"Gilmore",2776,5794,1543,45416,679,94234,150435,
"Grayndler",4956,8598,821,67233,837,67063,149514,
"Greenway",2316,8162,877,69487,1187,88032,170068,
"Hughes",3342,9040,1048,60968,676,69216,144288,
"Hume",1762,8150,1355,60577,845,77950,150643,
"Hunter",1462,5584,996,56424,768,91563,156796,
"Kingsford Smith",5450,7801,896,70230,986,90878,176232,
"Lindsay",2578,8576,1002,66113,1136,87122,166527,
"Lyne",816,4757,1302,44692,707,93200,145480,
"Macarthur",1803,7484,900,62417,1153,88261,162020,
"Mackellar",1423,5294,864,66309,822,73895,148607,
"Macquarie",2757,8292,1277,55152,687,73278,141441,
"McMahon",1440,5319,705,58066,1384,98782,165697,
"Mitchell",2198,7416,636,66457,800,75941,153450,
"New England",2173,6590,1827,52944,891,89761,154187,
"Newcastle",4272,9063,970,57556,688,80398,152949,
"North Sydney",3493,6096,448,75643,752,75090,161524,
"Page",1446,6654,1624,50680,833,97874,159107,
"Parkes",779,7566,2384,52814,951,89269,153770,
"Parramatta",2541,7564,588,71398,1513,102715,186324,
"Paterson",2841,5452,817,54672,691,91154,155632,
"Reid",3108,6986,597,77664,1433,91554,181347,
"Richmond",1258,5212,1380,53087,880,91094,152911,
"Riverina",3036,6067,1850,55367,842,88630,155790,
"Robertson",1327,7278,1071,52527,670,80218,143099,
"Shortland",1765,7365,1014,51373,565,82404,144483,
"Sydney",7194,7741,673,95363,1419,87786,200179,
"Warringah",2151,5169,661,68794,689,69868,147334,
"Watson",1914,5012,561,61387,1687,104244,174807,
"Wentworth",3035,5041,399,69515,794,67161,145952,
