Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"MSTP Registered Marital Status","Never married","Widowed","Divorced","Separated","Married","Not applicable","Total",
"CED (UR)",
"Banks",40570,7554,9819,3532,66927,27413,155804,
"Barton",52564,7055,10055,3945,71671,27569,172852,
"Bennelong",48572,6615,8445,2795,74121,28399,168948,
"Berowra",32587,5727,6671,2142,70012,28000,145132,
"Blaxland",44361,6899,10720,4921,70841,36885,174633,
"Bradfield",35456,6812,7031,2176,76896,31880,160251,
"Calare",43624,8213,11902,4741,60781,32032,161298,
"Chifley",47798,6517,8943,4970,63795,39229,171251,
"Cook",35409,7094,9801,3169,58713,24889,139060,
"Cowper",39660,10335,15803,5497,60636,27400,159322,
"Cunningham",46583,7792,10907,3742,59198,27152,155381,
"Dobell",40312,8850,13452,5139,56362,29956,154063,
"Eden-Monaro",37433,6982,11875,4070,60539,26633,147532,
"Farrer",41534,9237,11276,4652,65892,31391,163981,
"Fowler",44158,7325,11972,5305,64147,31328,164235,
"Gilmore",34693,9531,13518,4559,63900,24228,150435,
"Grayndler",58893,4657,10728,3052,48877,23311,149514,
"Greenway",39691,5120,8499,3633,74565,38566,170068,
"Hughes",34101,5280,7904,2857,64226,29925,144288,
"Hume",36624,6171,9875,3916,62591,31465,150643,
"Hunter",40882,7981,11882,4663,60724,30658,156796,
"Kingsford Smith",69854,6259,10485,3559,59406,26669,176232,
"Lindsay",47629,5936,11537,5024,61071,35327,166527,
"Lyne",31704,9579,13306,4687,62258,23935,145480,
"Macarthur",44519,5061,10116,4954,61463,35903,162020,
"Mackellar",34513,7091,10171,2847,65179,28813,148607,
"Macquarie",37340,5820,11331,3666,56352,26930,141441,
"McMahon",43311,6712,9643,4861,66761,34402,165697,
"Mitchell",32652,4990,6731,2422,73214,33442,153450,
"New England",40969,8601,11292,4651,58943,29732,154187,
