Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RLHP Relationship in Household"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RLHP Relationship in Household","Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple","Lone parent","Natural or adopted child under 15","Step child under 15","Foster child under 15","Grandchild under 15","Otherwise related child under 15","Unrelated child under 15","Natural or adopted dependent student","Dependent student step child","Dependent student foster child","Non-dependent natural, or adopted child","Non-dependent step child","Non-dependent foster child","Brother/sister","Father/mother","Non-dependent grandchild","Grandfather/grandmother","Cousin","Uncle/aunt","Nephew/niece","Other related individual (nec)","Unrelated individual living in family household","Group household member","Lone person","Visitor (from within Australia)","Other non-classifiable relationship","Not applicable","Total",
"CED (UR)",
"Banks",60913,5765,212,222,6725,25058,749,62,185,105,65,8848,518,7,11500,732,3,2130,1652,266,152,258,128,439,198,3208,4264,11190,2963,4541,2756,155804,
"Barton",62500,8362,821,572,6727,24984,652,34,171,100,55,7854,409,4,11257,615,5,2906,1686,271,123,399,143,500,223,5197,9636,11861,3645,7035,4087,172852,
"Bennelong",67151,7056,257,239,5621,26392,644,22,102,78,45,9283,411,7,9691,481,6,2188,1549,182,93,201,102,403,188,3704,7950,12426,3144,4264,5095,168948,
"Berowra",64883,4499,105,123,4180,26079,723,49,111,47,47,10757,635,9,10327,721,7,987,1271,148,82,61,33,239,104,1312,1466,6746,2559,2912,3918,145132,
"Blaxland",61087,3712,126,93,7851,33254,819,42,240,195,130,10323,501,8,14065,769,11,2984,1755,291,140,400,188,630,268,4116,6942,9238,4058,7359,3043,174633,
"Bradfield",69958,4725,207,156,4884,29720,670,31,59,58,44,11759,576,0,7802,425,3,1333,1143,143,76,155,61,279,83,1749,2913,9591,2679,3496,5477,160251,
"Calare",52685,11024,188,246,7017,26785,1609,266,427,148,61,5251,615,49,7162,690,10,945,706,278,129,72,56,114,67,1189,3677,16432,6016,8832,8549,161298,
"Chifley",58827,6982,147,200,9636,34382,1280,191,545,327,82,9732,712,24,14688,1183,19,2420,1941,478,204,290,143,605,253,2248,2713,8124,3702,6944,2237,171251,
"Cook",53802,7887,142,174,5387,22648,708,38,97,37,21,7042,528,0,9068,721,0,1116,953,224,117,84,57,163,94,959,2912,12639,3342,4755,3351,139060,
"Cowper",53245,11301,189,344,8249,23208,1363,159,469,165,42,5062,614,23,7098,760,10,1042,1004,340,145,75,64,120,121,1616,4563,18300,6096,7237,6282,159322,
"Cunningham",53520,9533,190,291,6668,24313,906,61,216,88,32,6990,592,8,8909,686,6,1290,805,289,153,51,51,129,114,1572,7237,14860,4841,5221,5744,155381,
"Dobell",51394,10418,205,298,8356,25704,1642,279,386,117,61,6094,781,35,9412,1231,20,1233,1249,369,168,45,68,132,113,1786,3399,13844,4748,5606,4892,154063,
"Eden-Monaro",52288,11721,206,289,5365,22690,1333,114,282,81,34,5073,646,24,6400,706,16,862,639,193,89,48,39,98,73,959,2746,15201,6013,7283,6035,147532,
"Farrer",56226,10924,100,180,6386,26251,1356,192,422,135,46,5095,500,21,7193,649,11,973,591,279,118,76,58,103,78,1006,3984,17604,6908,9495,7007,163981,
"Fowler",57011,4233,101,79,9695,27439,950,70,292,274,142,10634,572,13,16164,838,12,3044,2115,330,145,349,255,699,299,2985,2933,8364,3901,7534,2761,164235,
"Gilmore",55410,10206,155,309,6555,20418,1209,276,371,94,47,4533,576,37,6965,789,12,834,835,301,123,39,53,93,85,1190,2923,16169,7120,6418,6288,150435,
"Grayndler",42621,14256,1528,1458,4931,20709,675,46,89,49,20,4422,340,3,5397,346,4,1856,664,172,91,218,81,219,128,2667,12569,15789,3884,8636,5642,149514,
"Greenway",68722,6396,160,200,6433,35268,1170,131,251,140,81,9414,724,14,11106,1036,10,1986,1692,231,114,247,92,466,173,2032,3244,7625,2881,4984,3042,170068,
"Hughes",60169,7160,162,196,5052,27622,911,68,118,65,30,8250,638,12,10405,929,9,1006,970,180,90,77,44,160,74,983,1559,7667,2908,2836,3927,144288,
"Hume",57081,9712,162,257,5918,27499,1486,277,256,93,51,6208,729,29,9435,1174,24,948,1088,264,112,45,62,136,86,1257,1914,10174,4240,5374,4545,150643,
"Hunter",54092,11396,187,276,7603,26059,1647,243,424,130,57,5515,743,36,8716,1078,15,977,950,373,168,69,63,117,91,1393,2947,13347,5651,5778,6657,156796,
"Kingsford Smith",52151,13123,621,451,6131,23860,681,40,135,63,31,6568,433,3,8398,501,5,2673,1023,274,143,235,113,339,164,3708,16519,15977,4022,8581,9265,176232,
"Lindsay",56201,11178,173,313,8737,30768,1643,242,383,175,61,7072,774,35,11846,1371,13,1715,1471,368,141,125,106,298,132,1908,3222,11171,4078,6637,4163,166527,
"Lyne",55091,9569,150,179,6520,20213,1203,262,421,127,56,4676,535,43,6868,693,20,814,874,331,135,47,55,100,70,1165,2962,15509,5966,5961,4853,145480,
"Macarthur",57196,9275,138,242,8720,31272,1482,273,449,221,91,7834,764,35,12866,1325,9,1732,1621,365,148,154,98,361,147,1733,2346,8695,3801,6180,2433,162020,
"Mackellar",58962,8778,141,219,4760,26304,873,39,92,35,46,7635,582,4,8264,722,6,978,967,174,94,73,38,143,96,1883,2712,10837,3694,4693,4775,148607,
"Macquarie",51466,9388,342,478,6006,23541,1302,199,241,76,39,6260,708,25,8779,959,21,829,909,259,114,42,50,112,87,1267,2860,11770,3949,4885,4479,141441,
"McMahon",61291,5316,89,114,8163,31047,913,83,256,228,84,9582,535,17,16115,980,12,2586,1734,332,138,285,161,423,213,2151,2882,8479,3525,5754,2210,165697,
"Mitchell",68814,4737,128,152,4528,31296,935,86,104,72,27,10141,683,18,10480,856,5,1099,1480,166,70,92,58,285,81,1157,2034,6230,2345,2484,2814,153450,
"New England",50751,10560,104,216,6920,24535,1410,207,409,153,62,4516,507,39,6458,613,8,1093,641,320,147,75,62,138,66,1312,3949,16363,6534,8298,7723,154187,
"Newcastle",47124,11778,326,475,6979,23213,978,123,282,80,54,5620,595,33,7164,707,12,1515,647,268,148,86,60,140,97,1766,9793,16985,5164,3506,7237,152949,
"North Sydney",58569,12265,627,344,4588,24849,661,14,46,35,29,7028,404,8,5350,356,0,1814,634,110,69,135,58,211,92,1781,7410,17306,3465,6837,6451,161524,
"Page",53024,11801,232,282,7912,23688,1306,250,412,163,75,5263,649,51,7621,762,5,1228,935,331,142,64,71,161,116,1681,4337,16993,6258,8335,4966,159107,
"Parkes",47273,11478,82,148,7536,25442,1316,245,658,270,86,3830,447,31,7070,573,15,1156,717,520,214,125,92,201,159,1322,3016,16441,6530,10056,6721,153770,
"Parramatta",71499,5685,281,224,6746,32584,738,43,172,122,74,8432,415,0,10599,594,5,3124,1792,209,87,472,155,511,206,4018,8171,12611,3449,8467,4833,186324,
"Paterson",54088,11543,147,284,7822,26319,1736,289,418,120,61,5533,796,29,8553,1023,11,1082,895,361,173,72,55,135,82,1324,2990,13713,5429,6077,4470,155632,
