Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"CED (UR)",
"Banks",6686,86543,4916,7557,184,900,37707,445,10866,155804,
"Barton",8844,80992,8752,13184,266,831,44153,645,15182,172852,
"Bennelong",7331,83384,6947,3893,427,1330,52814,555,12276,168948,
"Berowra",3951,83438,4629,1744,286,1157,39672,457,9789,145132,
"Blaxland",14326,63216,5165,50995,35,1147,23610,375,15769,174633,
"Bradfield",5060,79193,4971,1741,3428,1379,51860,546,12081,160251,
"Calare",969,105615,586,440,49,630,34939,630,17436,161298,
"Chifley",2308,99866,11971,14172,37,4499,25037,533,12817,171251,
"Cook",2014,92404,919,1998,237,392,30663,433,10005,139060,
"Cowper",1495,92961,423,503,131,983,46415,779,15637,159322,
"Cunningham",2168,89494,1161,3421,99,580,45849,768,11847,155381,
"Dobell",1288,96281,497,487,125,607,41897,574,12309,154063,
"Eden-Monaro",1242,83688,806,806,112,975,44356,717,14819,147532,
"Farrer",959,103730,1539,922,49,1609,38148,491,16527,163981,
"Fowler",32532,77608,3412,10444,24,3884,21823,479,14035,164235,
"Gilmore",1321,88246,302,241,118,575,44754,579,14298,150435,
"Grayndler",4863,59544,3390,1731,652,693,62172,975,15487,149514,
"Greenway",3529,89727,20641,8306,111,8454,26583,527,12191,170068,
"Hughes",1982,94971,2354,2278,133,554,33482,515,8015,144288,
"Hume",1057,103584,473,932,103,487,32169,461,11372,150643,
"Hunter",1060,99187,468,419,67,475,40870,552,13698,156796,
"Kingsford Smith",5519,86046,2343,5281,5036,692,51590,681,19047,176232,
"Lindsay",1803,105312,3065,3179,80,1878,36973,589,13642,166527,
"Lyne",990,94457,204,154,68,385,35951,415,12853,145480,
"Macarthur",3629,98692,5141,10214,71,1650,29835,496,12290,162020,
"Mackellar",2218,83501,1033,649,473,861,47964,605,11319,148607,
"Macquarie",1417,82684,319,392,216,714,43886,711,11093,141441,
"McMahon",8995,98679,4414,19043,35,2118,20179,591,11640,165697,
"Mitchell",4505,92878,7352,4337,175,2379,33030,385,8406,153450,
"New England",906,102427,614,738,48,593,32689,508,15661,154187,
"Newcastle",1862,83194,1063,1868,96,639,51859,898,11463,152949,
"North Sydney",5039,75909,4290,1643,1787,927,56619,700,14606,161524,
"Page",1506,91237,317,269,70,1955,46974,881,15909,159107,
"Parkes",681,102947,732,468,38,424,30919,389,17171,153770,
"Parramatta",6370,74461,31021,17128,111,4988,35106,507,16627,186324,
"Paterson",1047,99770,491,407,63,573,40143,577,12565,155632,
"Reid",8944,82895,12906,5002,267,1141,51800,560,17833,181347,
"Richmond",2218,78495,769,185,427,1082,52064,958,16729,152911,
"Riverina",676,109311,580,896,35,428,28966,468,14422,155790,
"Robertson",1661,85694,626,484,210,508,42112,574,11234,143099,
"Shortland",1172,89568,406,286,67,428,42399,544,9612,144483,
"Sydney",14496,57042,2799,2860,1694,925,88983,1271,30120,200179,
"Warringah",2249,74885,1125,625,702,610,53059,639,13440,147334,
"Watson",8775,76038,5691,40903,82,1069,27527,370,14347,174807,
"Wentworth",1941,55180,672,571,18217,395,49089,695,19187,145952,
"Werriwa",12853,90365,8418,21761,21,3560,19278,472,14188,170906,
"Whitlam",1252,97624,556,1906,114,508,38524,585,11210,152281,
"No usual address (NSW)",214,4328,124,225,22,94,3537,125,3619,12288,
"Migratory - Offshore - Shipping (NSW)",14,246,0,0,3,0,92,0,57,419,
"Aston",5614,68528,3880,1677,151,1442,44749,682,9292,136015,
"Ballarat",1191,78548,783,512,84,889,57880,892,13709,154479,
"Batman",4602,68905,4306,6991,279,1794,58820,999,15267,161968,
"Bendigo",1442,73879,583,501,89,726,57345,770,15097,150428,
"Bruce",13218,67499,9560,12541,244,4319,36372,615,12642,157007,
"Calwell",4485,88039,3638,29324,26,3104,22655,531,13607,165410,
"Casey",1471,68471,652,344,104,857,58681,879,11297,142764,
"Chisholm",9739,69543,5977,3210,504,1728,59760,758,13213,164432,
"Corangamite",1227,78322,822,847,73,703,57235,792,12722,152745,
"Corio",1520,80230,970,1881,73,838,49331,798,14271,149917,
"Deakin",4778,70614,3166,1559,149,1822,53190,746,10742,146766,
"Dunkley",1456,70496,691,530,252,725,58420,855,12952,146376,
"Flinders",1233,75648,263,260,161,510,60801,806,13815,153496,
"Gellibrand",8744,72443,4650,8609,154,1652,54124,909,14599,165874,
