Australian Bureau of Statistics,,,
,,,
"2016 Census - Employment, Income and Education",,,
CED (UR) by SEXP Sex,,,
Counting: Persons Place of Usual Residence,,,
,,,
Filters:,,,
Default Summation,Persons Place of Usual Residence,,
,,,
SEXP Sex,Male,Female,Total
CED (UR),,,
Banks,75780,80031,155804
Barton,85725,87130,172852
Bennelong,82362,86578,168948
Berowra,71298,73836,145132
Blaxland,89071,85557,174633
Bradfield,76947,83304,160251
Calare,80636,80661,161298
Chifley,84508,86737,171251
Cook,67496,71566,139060
Cowper,77043,82279,159322
Cunningham,76873,78513,155381
Dobell,74439,79635,154063
Eden-Monaro,73772,73763,147532
Farrer,81183,82797,163981
Fowler,80943,83294,164235
Gilmore,74171,76264,150435
Grayndler,72830,76681,149514
Greenway,85420,84648,170068
Hughes,71073,73218,144288
Hume,74775,75866,150643
Hunter,77728,79066,156796
Kingsford Smith,87225,89009,176232
Lindsay,82101,84427,166527
Lyne,71263,74214,145480
Macarthur,79775,82248,162020
Mackellar,72521,76092,148607
Macquarie,69052,72390,141441
McMahon,82228,83470,165697
Mitchell,75102,78349,153450
New England,75389,78796,154187
Newcastle,75477,77472,152949
North Sydney,77793,83724,161524
Page,78412,80696,159107
Parkes,76382,77382,153770
Parramatta,94404,91921,186324
Paterson,76426,79208,155632
Reid,89628,91717,181347
Richmond,73764,79147,152911
Riverina,77165,78628,155790
Robertson,69298,73802,143099
Shortland,70550,73933,144483
Sydney,103710,96475,200179
Warringah,71037,76296,147334
Watson,87612,87191,174807
Wentworth,69852,76095,145952
Werriwa,84313,86596,170906
Whitlam,73935,78347,152281
No usual address (NSW),7353,4938,12288
Migratory - Offshore - Shipping (NSW),174,240,419
Aston,66362,69653,136015
Ballarat,74904,79579,154479
Batman,78428,83537,161968
Bendigo,73375,77054,150428
Bruce,79053,77957,157007
Calwell,82570,82839,165410
Casey,70206,72557,142764
Chisholm,79930,84505,164432
Corangamite,74913,77829,152745
Corio,72787,77122,149917
Deakin,70762,76001,146766
Dunkley,70671,75711,146376
Flinders,75053,78443,153496
Gellibrand,82717,83155,165874
Gippsland,70688,72345,143030
Goldstein,70624,77001,147624
Gorton,96216,98482,194692
Higgins,73751,80190,153939
Holt,99930,99935,199865
Hotham,74462,76819,151284
Indi,68998,71183,140185
Isaacs,77789,80859,158653
Jagajaga,68659,72643,141300
Kooyong,69427,75970,145397
La Trobe,77807,79159,156961
Lalor,116321,115660,231980
Mallee,68647,69951,138597
Maribyrnong,81885,84534,166420
McEwen,104184,106347,210529
McMillan,81401,85930,167327
Melbourne,101131,107464,208588
Melbourne Ports,78429,82270,160704
Menzies,66759,70775,137534
Murray,72140,73229,145367
Scullin,83287,84683,167967
Wannon,66532,67239,133777
Wills,82919,86726,169648
No usual address (Vic.),4329,3241,7572
Migratory - Offshore - Shipping (Vic.),26,0,26
Blair,77322,78994,156321
Bonner,72730,76899,149634
Bowman,71987,75024,147011
Brisbane,81841,82052,163890
Capricornia,76922,73795,150717
Dawson,79328,76988,156313
Dickson,72209,74005,146216
Fadden,82273,87325,169599
Fairfax,73822,79639,153467
Fisher,67748,72422,140168
Flynn,79916,75567,155484
Forde,81160,84382,165537
Griffith,77648,79950,157606
Groom,72145,76717,148864
Herbert,79641,80367,159999
Hinkler,68723,72994,141717
Kennedy,79302,76091,155394
Leichhardt,87018,88428,175451
Lilley,75535,79839,155380
Longman,79019,81580,160600
Maranoa,75109,74156,149264
McPherson,72750,78826,151575
Moncrieff,78600,82137,160732
Moreton,78364,79704,158070
Oxley,81365,81841,163207
Petrie,78560,84707,163268
Rankin,88622,90547,179171
Ryan,75922,79421,155348
Wide Bay,71336,72763,144096
Wright,77958,78483,156442
No usual address (Qld),6939,5576,12515
Migratory - Offshore - Shipping (Qld),69,83,152
Adelaide,81061,82376,163440
Barker,75469,74032,149501
Boothby,70245,75588,145832
Grey,72951,70570,143524
Hindmarsh,73268,77976,151244
Kingston,72305,75602,147907
Makin,73854,75665,149515
Mayo,68767,71593,140368
Port Adelaide,81236,83847,165088
Sturt,71450,77713,149159
Wakefield,83651,84557,168207
No usual address (SA),1738,1127,2862
Migratory - Offshore - Shipping (SA),6,0,8
Brand,81996,82031,164025
Burt,84525,84254,168783
Canning,72128,73890,146016
Cowan,73347,74189,147537
Curtin,69526,73566,143092
Durack,98703,83063,181762
Forrest,72883,74887,147770
Fremantle,72860,75875,148741
Hasluck,72878,70745,143625
Moore,69541,70719,140262
O'Connor,79765,76559,156319
Pearce,89971,91796,181766
Perth,75453,75637,151089
Stirling,72602,75393,147993
Swan,82162,81047,163199
Tangney,66123,69916,136035
No usual address (WA),3535,2417,5950
Migratory - Offshore - Shipping (WA),405,27,431
Bass,49290,52101,101389
Braddon,47254,49808,97058
Denison,49819,52756,102574
Franklin,50824,53618,104446
Lyons,51720,51791,103509
No usual address (Tas.),518,393,911
Migratory - Offshore - Shipping (Tas.),52,19,75
Lingiari,60054,54494,114543
Solomon,58524,55591,114116
No usual address (NT),1334,1155,2485
Migratory - Offshore - Shipping (NT),58,12,73
Canberra,96423,99619,196042
Fenner,100045,102910,202954
No usual address (ACT),313,232,541
Migratory - Offshore - Shipping (ACT),0,0,0
No usual address (OT),21,29,54
Migratory - Offshore - Shipping (OT),9,0,4
Total,11546637,11855244,23401891
,,,
"Data Source: Census of Population and Housing, 2016, TableBuilder",,,
,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,
,,,
,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,
