Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by MDCP Social Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"MDCP Social Marital Status","Married in a registered marriage","Married in a de facto marriage","Not married","Not applicable","Total",
"CED (UR)",
"Banks",60121,6983,52229,36469,155804,
"Barton",61655,10607,59824,40771,172852,
"Bennelong",66619,8087,54464,39783,168948,
"Berowra",64395,5216,39070,36449,145132,
"Blaxland",59962,5055,60475,49140,174633,
"Bradfield",69524,5514,42987,42233,160251,
"Calare",52118,12025,44465,52696,161298,
"Chifley",57756,8407,55408,49685,171251,
"Cook",53260,8749,42057,34998,139060,
"Cowper",52483,12593,49213,45032,159322,
"Cunningham",52965,10570,50417,41425,155381,
"Dobell",50645,11671,48319,43427,154063,
"Eden-Monaro",51725,12778,39163,43860,147532,
"Farrer",55753,11679,44730,51823,163981,
"Fowler",55720,5711,59440,43360,164235,
"Gilmore",54777,11303,42110,42243,150435,
"Grayndler",42162,17702,49892,39754,149514,
"Greenway",68029,7442,46650,47944,170068,
"Hughes",59575,8111,38108,38488,144288,
"Hume",56453,10764,39600,43826,150643,
"Hunter",53433,12518,44204,46642,156796,
"Kingsford Smith",51469,14880,63211,46677,176232,
"Lindsay",55298,12568,50504,48155,166527,
"Lyne",54379,10604,41429,39056,145480,
"Macarthur",56232,10615,48970,46200,162020,
"Mackellar",58453,9648,39956,40550,148607,
"Macquarie",50851,10822,41052,38715,141441,
"McMahon",60095,6710,54786,44106,165697,
"Mitchell",68297,5545,39452,40161,153450,
"New England",50221,11404,43242,49324,154187,
"Newcastle",46668,13029,52617,40635,152949,
"North Sydney",58158,13646,47344,42376,161524,
"Page",52387,12942,48329,45450,159107,
"Parkes",46704,12280,43463,51325,153770,
"Parramatta",70658,7029,58160,50480,186324,
"Paterson",53412,12641,44657,44920,155632,
"Reid",65270,10861,61064,44152,181347,
"Richmond",49295,12940,47597,43082,152911,
"Riverina",52220,10912,43255,49401,155790,
"Robertson",50359,10702,45032,37013,143099,
"Shortland",52910,10874,44051,36647,144483,
"Sydney",35965,29347,85126,49741,200179,
"Warringah",52813,13134,40708,40682,147334,
"Watson",62676,6108,59036,46987,174807,
"Wentworth",41638,16353,46543,41412,145952,
"Werriwa",61308,6746,53633,49213,170906,
"Whitlam",55755,10291,44845,41384,152281,
"No usual address (NSW)",0,0,0,12288,12288,
"Migratory - Offshore - Shipping (NSW)",0,0,0,419,419,
"Aston",54647,7735,41510,32129,136015,
"Ballarat",50456,12628,46166,45228,154479,
"Batman",48453,14928,57270,41313,161968,
"Bendigo",49807,12068,44408,44147,150428,
"Bruce",60775,5469,52579,38180,157007,
"Calwell",61457,6387,53442,44125,165410,
"Casey",52120,11598,40785,38261,142764,
"Chisholm",57679,7853,59256,39649,164432,
"Corangamite",55634,11339,40254,45513,152745,
"Corio",48940,11168,48052,41757,149917,
"Deakin",56399,8318,44858,37186,146766,
"Dunkley",48870,11869,46148,39494,146376,
"Flinders",54906,12618,42191,43783,153496,
"Gellibrand",52933,14356,56403,42182,165874,
"Gippsland",48207,11328,40021,43483,143030,
"Goldstein",56850,8857,42302,39615,147624,
"Gorton",68852,11446,55653,58739,194692,
"Higgins",49135,14054,54095,36653,153939,
"Holt",73381,11460,57165,57864,199865,
"Hotham",56851,7834,49841,36752,151284,
"Indi",48581,11201,37766,42636,140185,
"Isaacs",56694,11085,48776,42095,158653,
"Jagajaga",53811,9360,41701,36431,141300,
"Kooyong",52753,8634,46877,37135,145397,
"La Trobe",60207,10966,42564,43226,156961,
"Lalor",86349,14097,60442,71097,231980,
"Mallee",47877,9606,39889,41215,138597,
