Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1100701",10,8,17,13,7,10,11,12,13,23,21,24,24,42,9,12,4,0,0,0,0,254,
"1100702",13,21,20,31,10,13,17,10,25,31,32,43,23,34,24,27,3,5,4,0,0,382,
"1100703",30,29,37,10,20,21,29,18,27,25,32,27,22,28,26,16,15,6,0,0,0,425,
"1100704",30,38,13,11,9,16,17,29,27,24,19,30,36,25,33,31,16,16,13,6,0,440,
"1100705",19,27,19,29,16,19,26,7,35,27,21,31,32,23,39,18,10,0,4,0,0,397,
"1100706",15,25,12,12,8,8,9,9,16,17,16,32,17,25,17,10,4,7,0,0,0,252,
"1100707",11,8,15,17,9,6,27,16,16,25,31,49,44,40,31,5,11,4,5,0,0,362,
"1100708",27,24,21,20,16,11,10,20,47,22,37,40,47,52,28,24,12,7,0,0,0,460,
"1100709",18,35,18,27,5,11,28,23,33,39,31,45,19,13,13,17,0,6,0,0,0,375,
"1100710",16,20,29,19,8,10,10,27,35,52,51,66,51,67,38,12,6,3,3,0,0,515,
"1100801",27,21,30,25,24,30,34,28,28,24,35,14,18,10,9,9,3,0,0,0,0,385,
"1100802",33,35,23,28,26,33,32,42,31,36,41,38,43,38,39,21,8,3,0,0,0,558,
"1100803",20,33,24,35,26,28,22,22,31,29,28,12,21,16,6,14,0,3,0,0,0,373,
"1100804",26,34,18,25,22,36,26,29,31,24,20,26,20,21,14,14,3,4,0,0,0,408,
"1100805",28,32,22,15,15,24,20,17,13,11,13,14,10,7,7,8,0,0,0,0,0,257,
"1100806",26,17,27,19,15,28,25,29,21,22,19,42,33,24,12,10,8,6,0,0,0,385,
"1100807",24,19,27,33,29,30,38,26,31,30,26,21,24,30,14,16,6,11,5,0,0,437,
"1100808",29,32,38,41,33,34,35,32,38,38,35,31,20,27,12,13,10,0,4,0,0,510,
"1100809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1100810",10,15,20,26,22,13,18,11,14,24,29,26,18,7,12,6,3,3,0,0,0,274,
"1100811",27,25,21,24,15,22,31,28,17,19,21,11,26,17,27,17,4,10,0,0,0,350,
"1100812",25,21,15,18,17,17,16,24,20,27,13,17,14,0,7,0,0,0,0,0,0,259,
"1100813",24,34,27,42,31,24,29,17,44,46,42,33,17,12,0,7,4,0,0,0,0,443,
"1100814",23,25,15,34,31,40,26,29,28,43,36,53,35,27,12,13,0,0,8,0,0,481,
"1100815",37,23,20,31,32,46,42,29,27,36,21,26,18,19,21,14,7,0,0,0,0,466,
"1100816",40,35,41,10,26,19,36,38,32,27,34,37,33,11,11,11,10,3,4,0,0,439,
"1100817",17,19,15,23,21,24,14,22,16,13,19,16,11,15,14,8,7,0,3,0,0,285,
"1100818",13,20,23,20,19,24,16,15,20,11,12,15,18,20,15,6,4,9,0,0,0,267,
"1100819",25,35,46,41,35,22,27,30,38,40,45,40,25,22,9,0,5,0,0,0,0,476,
"1100820",14,18,23,28,15,19,23,14,14,24,16,26,13,19,5,3,7,0,0,0,0,296,
"1100821",16,39,40,48,33,10,17,31,47,46,39,22,27,29,11,7,3,0,0,0,0,469,
"1100822",6,10,23,14,11,15,10,15,20,25,18,12,21,10,12,7,4,0,0,0,0,233,
"1100823",13,24,25,8,19,4,17,15,14,22,14,17,12,10,0,0,0,0,0,0,0,209,
"1100901",27,15,14,7,11,14,15,22,19,11,19,19,22,14,4,4,6,6,3,0,0,239,
