Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"1102801",0,0,0,0,0,0,0,0,0,0,0,0,
"1102802",19,10,98,64,81,135,0,26,21,24,132,609,
"1102803",21,7,104,62,69,113,0,29,27,47,145,614,
"1102804",12,5,27,21,30,78,0,5,5,13,38,240,
"1102805",14,7,46,44,38,70,0,9,0,20,79,330,
"1102806",11,10,50,42,84,122,0,32,16,34,121,528,
"1102807",25,8,78,51,51,84,0,19,13,25,75,421,
"1102808",9,13,50,41,53,93,0,12,15,13,101,393,
"1102809",19,23,105,52,99,148,0,19,19,24,130,639,
"1102810",20,14,76,44,75,97,0,17,12,30,96,486,
"1102811",13,7,57,34,72,87,0,23,9,16,114,434,
"1102812",12,9,57,45,60,88,0,15,12,27,95,421,
"1102813",19,4,32,38,48,89,0,23,17,22,59,340,
"1102814",21,9,65,41,60,80,0,10,12,29,80,410,
"1102815",13,9,39,41,77,75,0,16,13,21,92,390,
"1102816",15,3,55,26,41,38,0,6,10,20,36,254,
"1102817",21,11,58,46,52,60,0,11,11,22,89,391,
"1102818",11,7,68,32,58,88,0,14,17,17,110,419,
"1102901",16,15,51,31,43,65,0,8,9,10,57,316,
"1102902",12,7,53,26,43,69,0,15,4,20,52,299,
"1102903",7,5,38,33,88,104,0,42,18,34,77,444,
"1102904",4,3,28,32,113,124,0,37,24,39,122,529,
"1102905",10,11,55,26,62,98,0,23,15,26,81,396,
"1102906",27,4,50,15,30,38,0,10,8,11,39,224,
"1102907",6,8,33,20,53,77,0,18,8,33,42,306,
"1102908",13,5,27,46,77,100,0,23,16,40,36,388,
"1102909",11,3,33,42,59,104,0,20,20,31,42,368,
"1102910",4,7,42,45,90,115,0,36,13,28,104,480,
"1102911",18,17,76,44,68,99,0,17,13,40,88,478,
"1102912",21,17,71,53,60,83,0,18,24,17,72,435,
"1102913",13,13,61,35,44,63,0,13,6,19,56,323,
"1102914",7,5,37,27,62,71,0,15,14,17,38,281,
"1102915",22,5,58,41,92,118,0,34,14,19,112,514,
"1102916",6,12,42,38,69,90,0,14,17,29,77,391,
"1102917",10,4,46,17,30,59,0,15,6,8,40,244,
"1102918",14,11,69,47,49,90,0,14,9,21,60,384,
"1102919",11,3,37,34,62,95,0,36,20,48,27,373,
"1102920",0,0,0,0,0,3,0,0,0,5,0,6,
"1102921",0,0,0,0,0,0,0,0,0,0,0,0,
"1102922",13,6,48,51,81,131,0,37,13,14,135,532,
"1102923",0,10,41,35,69,86,0,17,13,14,90,370,
"1102924",9,9,50,46,94,130,0,24,17,18,116,499,
"1102925",12,4,36,46,95,137,0,39,20,50,117,557,
"1102926",11,5,45,31,45,84,0,16,17,12,47,315,
"1102927",33,17,101,53,56,141,0,20,20,46,86,577,
"1102928",11,5,54,55,105,227,4,86,33,64,43,688,
"1103002",14,9,58,52,97,127,0,44,21,77,98,590,
"1103003",8,9,20,24,36,50,0,8,9,21,57,249,
"1103004",7,0,20,21,56,120,0,20,7,43,76,375,
"1103005",0,0,30,19,44,79,0,25,9,23,34,268,
"1103006",4,7,41,29,65,113,0,26,12,20,72,385,
"1103007",10,3,40,22,49,109,0,38,19,41,61,389,
"1103008",3,5,14,24,31,54,0,21,3,23,34,217,
"1103009",15,4,35,31,57,70,0,35,8,36,66,366,
"1103010",10,3,48,33,72,109,0,16,15,44,64,411,
"1103011",15,7,45,34,76,137,0,38,21,159,58,593,
"1103012",16,4,51,45,72,85,0,22,17,15,55,394,
"1103013",3,0,0,0,5,10,0,7,0,5,4,27,
"1103014",13,0,40,38,73,118,0,41,12,32,74,446,
"1103101",7,4,46,34,52,100,0,13,12,13,53,336,
"1103102",9,0,32,27,24,62,0,32,14,99,12,306,
"1103103",6,0,18,22,50,123,0,62,17,76,0,373,
"1103104",6,5,29,36,58,156,0,63,15,61,47,477,
"1103105",10,8,52,41,82,154,0,21,16,12,82,472,
"1103106",0,0,18,14,40,81,0,9,4,27,52,247,
"1103107",4,0,5,3,3,8,0,4,0,0,6,33,
"1103108",8,0,36,27,37,61,0,12,3,4,61,254,
"1103109",8,3,33,22,40,71,0,12,10,6,51,247,
"1103110",7,7,43,42,55,144,0,29,12,33,91,462,
"1103111",8,6,32,36,48,85,0,27,5,22,84,353,
"1103112",16,3,25,14,19,33,0,4,6,3,38,163,
"1103113",25,13,83,39,50,104,0,9,21,32,94,464,
"1103114",40,4,74,36,60,106,0,19,9,26,95,473,
"1103115",19,14,77,47,66,119,0,23,12,20,116,517,
"1103116",16,9,60,58,69,99,0,13,16,64,97,500,
"1103117",15,9,30,37,67,83,0,14,12,18,59,350,
"1103118",20,7,56,34,32,85,0,21,8,18,82,363,
"1103119",16,9,58,46,60,78,0,22,9,22,102,425,
"1103120",8,12,55,41,69,95,0,16,13,14,73,391,
"1103121",7,7,45,25,40,78,0,17,9,8,64,285,
"1103122",9,0,41,44,58,113,0,31,17,25,70,404,
"1103123",9,4,27,18,68,94,0,38,0,51,77,385,
"1103124",5,9,45,37,51,75,0,19,8,19,53,329,
"1103125",3,8,16,14,36,79,6,26,3,21,35,256,
"1103126",0,0,13,17,49,123,0,84,21,86,4,405,
"1103127",10,4,41,20,72,87,0,32,8,22,62,354,
"1103128",0,0,30,24,33,54,0,21,10,200,39,407,
"1103129",29,7,71,40,69,160,0,32,19,15,112,548,
"1103130",16,4,39,23,44,74,0,23,7,20,63,313,
"1103131",12,6,62,61,76,188,0,104,31,123,10,670,
"1103132",0,0,0,0,0,0,0,0,0,0,0,0,
"1103133",12,6,61,33,51,105,0,15,11,23,68,399,
"1103134",20,10,47,39,56,115,0,32,18,18,69,422,
"1103135",4,6,44,39,65,122,0,28,11,37,60,411,
"1103136",12,0,37,46,63,87,0,28,15,32,89,401,
"1103137",0,0,0,5,11,30,0,19,0,151,5,218,
"1103138",19,7,64,38,84,144,0,33,24,37,89,542,
"1103201",0,8,44,38,70,103,0,19,8,13,87,402,
"1103202",13,5,25,41,73,110,0,52,4,60,112,486,
"1103203",17,5,83,61,127,171,0,24,26,28,178,720,
"1103204",17,3,82,49,104,146,0,37,14,93,134,680,
"1103205",14,0,22,26,29,58,0,8,6,27,53,239,
"1103206",0,0,5,0,10,21,0,12,0,8,11,71,
"1103207",12,12,58,32,46,76,0,12,5,22,27,298,
"1103208",15,8,68,39,75,117,0,16,11,38,61,446,
"1103210",11,0,15,16,19,43,0,16,8,11,35,169,
"1103211",13,3,76,44,74,148,0,49,7,38,116,575,
"1103212",12,7,47,34,79,111,0,38,8,33,99,472,
"1103213",0,0,10,10,23,18,0,4,9,7,12,90,
"1103214",20,15,68,45,118,135,0,37,22,26,121,605,
"1103215",6,0,22,15,33,60,0,8,4,6,48,211,
"1103216",8,0,37,26,52,92,0,14,10,33,61,320,
"1103217",3,0,19,13,35,42,0,10,7,5,17,160,
"1103218",9,3,53,42,83,112,0,25,17,22,82,444,
"1103219",27,0,61,31,45,93,0,8,6,20,66,358,
"1103220",19,4,63,31,57,91,0,13,14,45,26,352,
"1103221",12,8,33,23,48,83,0,22,13,21,21,285,
"1103223",0,0,0,0,0,0,0,5,0,0,0,5,
"1103224",20,3,73,32,63,119,0,26,14,69,50,460,
"1103225",0,3,27,23,41,63,0,14,9,3,46,233,
"1103226",11,3,41,26,38,61,0,10,12,24,22,234,
"1103227",4,8,33,23,87,157,0,55,13,73,110,562,
"1103228",27,16,79,60,77,156,0,61,25,86,92,699,
"1103229",12,0,60,38,64,104,0,38,12,46,75,447,
"1103230",12,4,65,52,65,112,0,62,19,60,72,524,
"1103231",8,10,58,46,67,126,0,38,17,38,95,498,
"1103232",7,4,37,30,81,125,0,40,22,34,89,464,
"1103233",7,5,36,28,58,77,0,18,10,21,95,360,
"1103234",26,6,112,80,114,168,0,32,19,35,146,745,
"1103235",11,6,38,27,59,108,0,25,14,24,55,374,
"1103236",20,0,58,32,50,125,0,45,16,83,37,462,
"1103237",10,0,45,16,45,84,0,20,12,32,49,330,
"1103238",27,4,72,35,32,88,0,8,15,28,51,360,
"1103239",32,9,82,54,71,145,3,36,20,55,88,597,
"1103240",7,0,46,35,48,88,0,43,12,64,35,375,
"1103241",20,4,56,41,68,95,0,25,5,62,50,422,
